Sources;Years;Matrix level;Matrix column;Main Key-word;Additional Key-Word;Pages Vol 3;Name;Acronym;Code;Country (secretariat);Type 1;Type 2;commentaire;Manager/Secretariat/;Adresse;E-mail;Telephone;Url;Date;Aims;Activities;Members;Priorité;Mail;Date;;MAJ2019
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;Conference of the Atlantic Arc Cities;CAAC;03755;FR;D;;CAAC;Tamara Guirao Espineira ;Rennes, France;coordinator@atlanticcities.eu / generalsecretariat@atlanticcities.eu;(33 9) 65 23 41 66;atlanticcities.eu/;2000;Promote the role of cities in Europe and highlight the specificity of the Atlantic Arc;"Campaigning ; projects ; meetings";Full (cities > 50k inh.) /Associated (cities < 50 k inh.);Forte;Membre/ Date d'adhésion/ Activité;30-mai-16;Refus pour l'envoi des données;
Vol.3;2014-2015;3;7;Government;Municipalities;414-415;Covenant of Mayors;Covenant of Mayors;04080;BE;E;;lien UE (commission européenne)/ Liste de signataires en ligne;Kristina Dely;Brussels, Belgium;info@eumayors.eu;(32 2) 504 78 62;www.covenantofmayors.eu;2008;"Meet and exceed the European Union 20% CO2 reduction objective by 2020; endorse and support efforts deployed by local authorities in the implementation of sustainable energy policies";;Cities;Forte;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;EGTC Amphictyony - Twinned Cities and Areas in the Mediterranean;AMPHICTYONY / (refounded as EGTC in 2008);04433;GR;E;;AMPHICTYONY / (refounded as EGTC in 2008);Dimitri Argianis;Athens, Greece;amfiktio@otenet.gr;(30 210) 3246 139;www.amphictyony.gr;1986;Work for the people of the Mediterranean so they can live in a continuously peacful environment and one constant development financially effective, socially just and environmentally viable with cohesion and security in their areas;;Municipalities;Forte;Date d'adhésion;30-mai-16;;
Vol.3;2014-2015;3;7;Government;Municipalities;414-415;Energy-Cities;EnergyCities;04477;FR;E;;Plus de 1000 municipalités en Europe;Miriam Eisermann/ Gérard Magnin;Besançon, France / (office in Brussels, Belgium);;;http://www.energy-cities.eu/;;"Strengthen the role and skills of local authorities in the field of sustainable energy ; represent local authorities' interests and influence the policies and proposals made by EU institutions in the fields of energy, environemental protection and urban policy ; develop and promote municipalities' initiatives through exchange of experiences, transfer of know-how and implementation of joint projects";"Sets up projects and programmes. Disseminates information. Organizes workshops and training courses. Prepares and sets up studies. Action areas : integrated urban energy policies ; sustainable energy visions and strategies ; stakeholder involvement ; local energy production and distribution ; energy management in the municipal estate ; urban waste management ; rational use of water ; low energy consumption ; urban transport policies ; public awareness and communication campaigns ; local energy management teams and agencies";Municipal authorities;Forte;Date d'adhésion;30-mai-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;European Association of Historic Towns and Regions;EAHTR;04982;UK;D;;Heritage Europe / EAHTR, lien avec le CdE;Brian Smith;Norwich. UK;bsmith@historic-towns.org / european-association@historic-towns.org;;www.historic-towns.org;1999;Promote the interests of historic towns through international cooperation and sharing good practice in sustainable management of historic areas;"Focus on sustainable management of historic towns and cities, covering tourism, transportation, retailing, living and design conservation. Develops a programme of conferences, cultural events and research ; identifies and shares experience and good practice. Participates either as lead partner or partner. Projetts : HerO (Heritage as Opportunity)";Organizations;Forte;Date d'adhésion;02-juin-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;European Cities Against Drugs;ECAD;05411;SE;F;;ECAD (plus de 250 villes);;Stockholm, Sweden;jorgen.sviden@stockholm.se / ecad@ecad.net;;www.ecad.net;1994;"Promote and develop through democratic means the fight against drugs, in order to contribute to a Europe free from drugs ; provide experience and knowledge about the work against drugs and drug abuse at local, national and international levels";Organizes : Mayors Conference. Collects  and disseminates information. Initiates local and regional projects;"Cities (having signed the ""Stockholm Resolution"")";Forte;Membre/ Date d'adhésion/ Activité;02-juin-16;;
Vol.3;2014-2015;2;4;Amenities;Urban;71-72;European Forum for Urban Security;EFUS;06139;FR;F;;Efus. Liste des membres sur le site;Elizabeth Johnston;10 rue Montiboeufs, 75020, Paris, France;contact@efus.eu;;efus.eu;1987;"Build up a network of European local authorities — towns, province, regions — which implement actions and programmes to fight urban insecurity ; prevent and treat delinquency ; strengthen crime reduction policies and to promote the role of local authorities in national and European policies";"Promote exchange of information, studies, pilot experiments and meetings ; implements programmes among European local authorities, institutes, administrations, public organs and international associations ; srve as a think tank and a place for dialogue and discussion for good practice exchange ; provides a network of local authorities to exchange with, and learn from ; on the basis of inter-city cooperation ; contributes to imposing the role of cities in the definition of international and national policies on crime prevention ; constitutes  a European network of experts from all fields to assist cities in their common reflection in order to improve their actions ;  reinforces local policies through technical assistance and training ;  works regularly with all European official institutions for recognition of the role of cities in implementation of local urban safety policies ; organizes training sessions ; provides opportunity to participate in conferences and seminar. Preparing for establishment of a 'European observatory of violence in cities"" in collaboration with the Council of Europe";Local authorities;Forte;Date d'adhésion;02-juin-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;European Historic Thermal Towns Association;EHTTA;06283;IT;D;;EHTTA.Contact en Italie, délégation à Paris, et siège à Bruxelles;;Brussels, Belgium / Acqui Terme, Italy /  71 ter rue Froidevaux, 75014, Paris, France;m.vansingle@borvo.com;;www.ehtta.eu;2009;"Create a strong network of partnership between towns and spas, promoting exchanges of experience among the different cultural operators of the cities ; promote the system at European level involving the institutions through support of European programmes, so as to create a European spa trail and complete the established programmes ; encourage, promote and develop analytical research and statistics within spa industry, focusing primarily on the history and artistic heritage, cultural, legal and legislative aspects linked to it.";;Cities / Associations / Corporate;Forte;Date d'adhésion;02-juin-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;European Network of cities for local integration policies for migrants;CLIP;06609;IE;F;; CLIP. Liens Comité des Régions / Conseil de l'Europe (Congress of Local and Regional Authorities);Anna Ludwinek;Dublin, Ireland;anna.ludwinek@eurofund.europa.eu /information@eurofound.europa.eu;;http://www.eurofound.europa.eu/clip-european-network-of-cities-for-local-integration-policies-for-migrants;2006;support the social and economic integration of migrants;encouraging the structured sharing of experiences through the medium of separate city reports and workshops covering four research modules, the network enables local authorities to learn from each other and to deliver a more effective integration policy;Cities;Forte;Membre/ Date d'adhésion/ Activité;06-juin-16;Plusieurs adresses mail non valides;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;European Walled Towns;EWT;07675;MT;F;;EWT. + de 80 villes;Bagriella Agius;Valletta, Malta;secgen.europeanwalledtowns@gmail.com;;http://www.europeanwalledtowns.org/;1989;Work towards sustainable development of walled towns, walled cities and fortified historic towns;Conferences, seminars, workshops, cultural events, study tours;Towns;Forte;Date d'adhésion;06-juin-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;Forum of Adriatic and Ionian Cities;FAIC;08378;IT;F;;FAIC;;Ancona, Italy;faic@comune.ancona.it;;http://www.faic.eu/;1999;"Foster economic, social, cultural and scientific integration in the Adriatic and Ionian area, in order to facilitate the transborder flows ; play a leading role in transborder cooperation";;Towns;Forte;Date d'adhésion;06-juin-16;;
Vol.3;2014-2015;3;7;Government;Municipalities;414-415;Group of European Municipalities with Nuclear Facilities;GMF;08926;ES;F;;GMF;Anna Paixa Matas;Reus, Spain;anna.paixa@gmfeurope.org;;www.gmfeurope.org;1993;"Defend and ensure that European nuclear municipalities take part in the discussion forums and the decisionmaking carried out in the European Union ; promote information exchange between European nuclear municipalities";;Municipalities;Forte;Date d'adhésion;06-juin-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;International Association Cities and Ports;AIVP;09763;FR;D;;IACP (AIVP);Corinne Monnet;Le Havre, France;cmonnet@aivp.org / aivp@aivp.org;;www.aivp.org;1988;"Promote awareness of internationalization ; facilitate interaction between different socio-economic group in port towns ; maintain the balance between port and municipality ; incorporate multiple objectives into the regeneration of coastal areas ; relate port infrastructure to the urban environment and encourage economic synergy ; respect fluvial and maritime ecology ; offer inhabitants of port towns an attractive environment ; support research and exchange of information ; promote international trade";"Undertakes investigations in different countries ; organizes congresses, symposia, seminars, study missions, survets, studies and appraisals";Cities / Autonomous Ports / Others;Forte;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;International Association of Educating Cities;IAEC;09839;ES;D;;IAEC;;Barcelona, Spain;edcities@bcn.cat;;http://www.edcities.org/;1990;"To promote, inspire, foster, and assure compliance with the principles of the Charter of Educating Cities (Declaration of Barcelona) by the member cities, and provide advice and information to the members on fostering and implementing the same ; to represent the members in the undertaking of the purposes of the association, in relating to and collaborating with international organisations, states, territorial entities of all kinds, so that the IAEC can be a valid, significant interlocutor in the processes of influencing, negotiating, decision-making and the drafting of documents.
";NA;Cities;Forte;Date d'adhésion;06-juin-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;International Cities of Peace;ICP;10509;USA;F;;ICP. Peu d'ancrage Européen;J Fred Arment;Dayton, USA;info@internationalcitiesofpeace.org;;www.internationalcitiesofpeace.org;2009;Network, encourage, document, and provide resources and information for leaders and organizations working to make peace a consensus value through the global Cities of Peace movement;;Cities;Forte;Date d'adhésion;06-juin-16;;
Vol.3;2014-2015;3;7;Government;Municipalities;414-415;Local authorities International Environmental Organization;KIMO;13705;UK;D;;KIMO. . Kommunenes Internationale Miljoorganisasjon;Harriet Bolt;Lerwick, UK;info@kimo.shetland.org;;www.kimointernational.org;1990;"Contribute to development of sustainable coastal communities by : preventing pollution of the seas and coastal waters of Europe and preserving, improving and enhancing them for future generations ; protecting coastal communities from the impacts of marine pollution ; representing member local authorities and associated members at international and national levels";"Lobbying : proactively lobbies government ministers to acknowledge and take action on the issues threatening the marine environment; ensure that proposed legislation is designed to practically improve Europe's marine environment through high level contact with European governments and international organizations. Demonstrative projects : seeks practical solutions to environmental problems ; highlights realistic improvement schemes to government and policymakers. Research : ensures accurate information and evidence to back up  lobbying efforts by undertaking research both internally and in collaboration with research institutes. Research has also led to publication of information and best practice guides.";Not specified (cities ?);Forte;Membre/ Date d'adhésion;06-juin-16;;
Vol.3;2014-2015;2;4;Amenities;Urban;71-72;Lighting Urban Community International;LUCI;13935;FR;F;;LUCI. Initiative de la ville de Lyon. Présence de petites villes;Alexandre Colombani;Lyon, France;luci@luciassociation.org;;www.luciassociation.org;2002;Increase exchanges of information and experiences in public lighting policies;;Cities;Forte;Date d'adhésion;06-juin-16;;
Vol.3;2014-2015;3;7;Government;Municipalities;414-415;Local Governments for Sustainability;ICLEI;13963;DE;B;y;ICLEI;Gino Van Begin;Bonn, Germany;secretary.general@iclei.org / iclei@iclei.org;;www.iclei.org;1990;Build and serve a worldwide mouvement of local governments to achieve tangible improvements in global sustainability with special focus on environmental conditions through cumulative local actions;Meeting activities;Local authorities / Association of local authorities;Forte;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;Organization of World Heritage Cities;OWHC;15051;;C;;OWHC. Liens avec l'UNESCO;Denis Ricard;Quebec City, Canada;secretariat@ovpm.org;;www.ovpm.org;1993;"Contribute to implementation of the UNESCO World Heritage Convention and the Charter of the Conservation of Historic Towns and Urban Areas ; study means of financing the safeguard and restoration of ancient cities, often overpopulated and maladapted to modern life.";"Ensure permanent exchange of information between member cities ; organizes courses. Works within the framework of Convention Concerning te Protection of the World Cultural and Natural Heritage";World Heritage Cities recognized by UNESCO;Forte;Date d'adhésion;06-juin-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;POLIS;POLIS;15491;BE;F;;Liens avec la Commission Européenne;Sylvain Haon;Brussels, Belgium;shaon@polisnetwork.eu / polis@polisnetwork.eu;;www.polisnetwork.eu;1989;"Foster cooperation across Europe on common local and regional transport and mobility issues ; increase awareness of European transport policies and programmes at the local level ; build up expertise and stimulate exchange of experience on innovative transport policies, technologies and funding ; investigate and promote new solutions to transport problems and improve transport management ; communicate the transport needs and priorities of European cities and regions";"Conferences, workshops ; thematic working groups ; technical seminars ; policy fora. Networking ; cooperation : policy input ; lobbying ; collaboration ; research ; raising awarness ; promotion and dissemination ; involvement in European Commission projects";Local authorities / Cities / Regions / Towns ;Forte;Date d'adhésion;06-juin-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;European Network of Cities and Regions for the Social Economy;REVES;15871;BE;F;;REVES. Réseau européen des villes et régions de l'économie sociale;Luigi Martignetti;Brussels, Belgium;office@revesnetwork.net;;www.revesnetwork.eu;1996;"Create stable partnerships between local authorities and social economy actors with a view to promote common policies for sustainable local development and social inclusion ; promote Territorial Social Responsability";"Transnational projects promoting social cohesion and new quality employment at local level ; REVES Art programme ; European benchmarking in the aformentioned fields ; spreading experiences and expertise through conferences and seminars ; lobbying ";Cities / Local Authorities / organizations;Forte;Date d'adhésion;06-juin-16;Adresse mail non valide. Contact par formulaire en ligne;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;European Network of Wine Cities;RECEVIN;15872;ES;F;;RECEVIN.Réseau Européen des Villes du Vin;Paolo Varanda;Vilafranca del Penedès, Spain;recevin@recevin.net;;www.recevin.net;1999;"Improve living standards of inhabitants of wine-grouping towns through : promotion of wine culture ; tourism ; town planning ; architectonic and rural heritage ; social and historic heritage ; employment ; training";"Stimulates quality products through Awards ; promotes wine culture through Annual European Wine City Contest ; provides training through Stage RECEVIN for young European wine growers ; promotes wine tourism ; disseminates environment protection information ; lobbying activity ; promotes internal cohesion. Member wine cities work together to : lobby, promote wine tourism, develop projects, exchange knowledge, spread other approaches, realities and trends, disseminate activities of territories";Cities;Forte;Date d'adhésion;06-juin-16;;
Vol.3;2014-2015;3;7;Government;Authorities;407;Standing Committe Euro-Mediterranean Partnership of the Local and Regional Authorities;COPPEM;16693;IT;D;;COPPEM. Lien avec le conseil de l'Europe. Fondé par le CCRE Fort ancrage européen, également en europe du nord;Carmelo Motta;Palermo, Italy;coppem@coppem.org / segretariato@coppem.org;;www.coppem.org;2000;Promote both dialogue and cooperation for local development between towns, municipalities, Local authorities, and Regions of the member countries;"Commissions : polical and institutional ; Cooperation beween cities and regions ; Economic and financial cooperation ; Culture, tourism, technology, environment";;Forte;Date d'adhésion;07-juin-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;Union of Baltic Cities;UBC;17030;PL;D;;UBC. Plus de 100 villes;Pawel Zaboklicki;Gdansk, Poland;info@ubc.net;;www.ubc.net;1991;"Develop cooperation and exchange among member cities ; contribute to positive democratic, social, economic and environmentally friendly development of the Baltic Sea region for the benefit of the people living in Baltic cities ; promote municipal cooperation in such domains as environmental protection, education, business, youth contacts, communication and social affairs";;Cities;Forte;Date d'adhésion;07-juin-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;World Winter Cities Association for Mayors;WWCAM;18332;JP;D;;WWCAM. Japon. Peu de villes dans le réseau mais présence en Europe;;Sapporo, Japan;wwcam@city.sapporo.jp;;www.city.sapporo.jp/somu/kokusai/wwcam/;1982;"Contribute to the development of livable winter cities by gathering representatives of cities with similar climates to facilitate exchange of knowledge and information concerning winter-related issues ; promote the 'Winter Cities Movement' ; strengthen cooperation and solidarity among winter cities while contributing to peace and the development of an international society ; tackle global warming issues through educational and action campaign";Meeting activities;Mayors;Forte;;;;
Web;2018;;;;;;Eurotowns;Eurotowns;W1;DE;;;Lien avec l'UE. Objectif Europe 2030;;Sindelfingen;info@eurotowns.org;;http://eurotowns.org/;1991;"Eurotowns supports medium-sized cities in Europe to strengthen their role as attractive, inclusive and sustainable places. Furthermore, Eurotowns provides a valuable mechanism for building reliable partnerships, developing innovative and sustainable projects, and effective collaboration on European Union funding applications.
The network structure facilitates productive and mutually beneficial activities focusing on different priorities through thematic Task Teams.";"The Mission of Eurotowns is to develop a network of vibrant, socially inclusive and sustainable medium-sized European cities, which acts as a catalyst for urban Innovation, creativity and renewal.

Eurotowns policy agenda focuses on the following areas:
Promoting LIFELONG LEARNING and the development of education and skills. Growing the KNOWLEDGE ECONOMY and creating better local jobs. Providing effective, efficient and SUSTAINABLE TRANSPORT systems. Ensuring that growth is SOCIALLY INCLUSIVE – all in society benefit. Improving the quality of the PHYSICAL ENVIRONMENT.
";Cities;Forte;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;EUROCITIES;Eurocities;04621;BE;F;;Lien avec la Commission Européenne;;Brussels, Belgium;info@eurocities.eu;;www.eurocities.eu;1991;"Ensure that urban affairs are placed high on the European Union's policy agenda ; promote transnational cooperation projects between member cities across Europe ; promote exchange of practices and networking amongst Europe's large cities";Works with European Commission, both at political and technical levels, as well as other European bodies to ensure that climate, recovery, inclusion at local level are effectively addressed. Networking through policy forums and working groups. Develops effective public relations and communications;Cities (> 200k inh.);Moyen;;;;
Web;2019;;;;;;WHO European Healthy Cities Network (WHO Healthy Cities);WHO;F3238;DK;F;;OMS;;Copenhagen, Denmark;;;http://www.euro.who.int/en/health-topics/environment-and-health/urban-health/activities/healthy-cities/who-european-healthy-cities-network;1988;"Standard setting ; training ; fund raising ; informatin exchange. Links the national networks of the WHO Healthy Cities Project : strengthening strategic capacity of national networks, accreditation criteria for network cities and cooperation between Western and Central/Eastern European networks";;Cities;Moyen;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;Association of Cities and Regions for Recycling and Sustainable Resource Management;ACRplus;01901;FR;D;;;Françoise Bonnet;63 av d'Auderghem, B-1040 Brussels, Belgium;fb@acrplus.org;;http://www.acrplus.org/index.php/fr/;1994;Promote sustainable consumption of resources and management of waste in cities and urban communities through prevention at source, reuse and recycling, especially : technical data on waste management options, means of communication, education and sensitization, legal economic or volontary instruments;;Local and regional authorities;Moyen;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;C40;C40;02723;GB/US;F;;London/New York;Mark Watts;;contact@c40.org;;http://www.c40.org/;2005;"Reduce greenhouse gas emissions in participating cities ; provide leadership on climate change issues";;Cities in 29 countries;Moyen;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;European Association of Cities Interested in the Use of Electric Vehicles;CITELEC;04886;BE;D;;CITELEC. Liens avec COST (European Cooperation in Science and Technology);Peter Van den Bossche / R. Domeniconi;Brussels, Belgium;citelec@vub.ac.be;;www.citelec.org;1990;"Bring together towns interested in electruc, hybrid and fuel cell vehicles in urban centres ; inform the public and decision-makers, define requirements, organize training and carry out studies on the impact of traffic on atmospheric pollution ; study standardization in the field";"Projects : evaluation of the introduction of electric vehicles in several European cities ; action of hybrid buses and electric minibuses ; demonstration ; development of electicallu propelled vehicles standardization and regulation";Active : Communes. Honorary : Towns;Moyen;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;European Cities Marketing;ECM;05412;FR;F;;ECM;Ignasi de Delas;Dijon, France;headoffice@europeancitiesmarketing.com;;www.europeancitiesmarketing.com;2007;Provide a platform on a pan-European basis for cities to perform better in their convention and tourism activities through exchange of knowledge and best practice within a city marketing framework;Organizes meetings and educational events;Tourist Offices and Convention Bureaux;Moyen;;;;
Vol.3;2014-2015;3;7;Government;Authorities;407;European Metroplitan Transport Authorities;EMTA;06530;FR;D;;EMTA;Ruud van der Ploeg;41 rue Chateaudun, 75009, Paris, France;contact@emta.com;;www.emta.com;1998;Serve as a forum for the exchange of information, research and experience between the public authorities respnsible for planning, integrating and financing public transport services in the main European cities;;Transport Authorities;Moyen;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;European Network of Digital Cities;DigitalCities;06621;FR;F;;Plutôt des métropoles/capitales nationales;Albert Galhaut;22 av de Laumière 75019, Paris, France;;01 43 58 45 73;www.villesnumeriques.org;2001;;;Not specified;Moyen;;;;
Vol.3;2014-2015;3;7;Government;Municipalities;414-415;European Regions and Municipalities Partnership for Hydrogen and Fuel Cells;HYER;07023;BE;D;;HyRaMP. Nouveau non : HYER;Marieke Reijalt;Brussels, Belgium;secretariat@hy-ramp.eu;;http://www.hyer.eu/;2008;Provide European regions and municipalities with a representative body coherent, distinguishable and influential with respect to the 'European Joint Technology Initiative for Fuel Cells and Hydrogen' and all relevant stakeholders and decision makers at both public and private level.;;Regions / municipalities;Moyen;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;FMDV;FMDV;08304;FR;F;fy;Fonds mondial pour le développement des villes. Demander la liste des membres;Alain Le Saux;132 rue du Faubourg Saint-Denis, 75010, Paris;contact@fmdv.net;;www.fmdv.net;2010;Strengthen solidarity and financial capacity by and among local authorities;;Not specified;Moyen;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;European Coalition of Cities against Racism;ECCAR;10538;FR;F;;Lié à l'UNESCO. Branche européenne : ECCAR (liste de villes disponible sur le site);Marcello Scarone;Paris, France;m.scarone@unesco.org;;http://www.eccar.info/;2004;Set up a network of cities interested in sharing experiences so as to improve their policies to fight, discrimination, xenophobia and exclusion;;Not specified;Moyen;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;League of Historical Cities;LHC;13900;JP;F;;Japon. LHC;Yui Miura;Kyoto, Japan;lhcs@city.kyoto.jp;;http://www2.city.kyoto.lg.jp/somu/kokusai/lhcs/;1987;"Promote the enrichment of culture, emphasizing the fact that historical cities are assets created by the wisdom of mankind ; contribute to world peace ; deepen mutual understanding by transcending national boundaries ; strengthen affiliations between member cities, foster exchange of experience and knowledge among them and contribute to their development";;Cities;Moyen;;;;
