Main.Key.Word;Additionnal.key.words;Name;Code_Network;Description;LeadPartnerCountry;Url;Start;End;Aims;Activities;Members;Continent;Region;NbCities;CodeCity;LeadPartner;Phase;Type
Integrated Urban Development ;Governance / Entrepreneurship & SMEs / Social Economy;BoostInno;7;Boosting Social Innovation;PL;http://urbact.eu/boostinno;2015;2018;"To enable public administrations to play a new role as public booster and brokers/facilitators of social innovation activities/projects/policies, by driving social innovation in, through and out the public sector. BoostInno will scale up the urban social innovation ecosystem with the concrete ambition to help local public authorities to become European hubs and deliverers of public and private social innovation models. On the Pan European level we will try to connect local ecosystems to transnational networks.
With new forms of organization and new interactions to tackle social issues, the cities will be able to address the changes in city administration for collaboration with citizens. This will be achieved by an adapted and developed Open Innovation methodology and within that, the Quadruple Helix approach, giving a large scope for innovation to the creative user, and adapting the ways of thinking and doing of the local authorities, to this new paradigm.
An improved version of the living labs type of innovation approach could bridge the innovation gap between technology development and the uptake of new products and services involving all relevant players of the value network via partnerships, between business, citizens and government. We propose to concentrate on the capacities of the local authority and citizen activity as a user and as a co-creator in partnership with the business sector.";"Three fundamental aims/spaces of work:
- the brokerage capacity (within the city administration and outside),
- the evolving nature of innovation spaces: the spaces for innovation in cities (both physical and virtual), the space for learning in any local community, and the space for cross fertilization and exchange at the Pan European scene...
- the appropriate curriculums at all levels, producing measurable changes in mind-sets over a medium to long period of time. This would imply appropriate creative and confidence building systems, through which young people can be better prepared for the social innovation paradigm.";Cities;Europe;Eastern Europe;10;PL7;Gdansk;Urbact III;Action Planning
Environment;Climate Adaptation / Culture & Heritage / Social Economy;C-CHANGE ;97;Arts and Culture Tackling Climate Change;UK;https://urbact.eu/c-change;2018;NA;Transfer the work of Manchester Arts Sustainability Team (MAST) to support cities to mobilise their arts and culture sectors to contribute towards local climate change action.By:1) Developing local policies, governance and capacity to act2) Developing plans to reduce CO2 emissions and/or adapt to climate change, and supporting implementation 3) Developing plans to use arts and culture to engage citizens to act, and supporting implementation 4) Encouraging replication in other cities.;;Cities;Europe;Northern Europe;6;UK18;Manchester;Urbact III;Transfer
Governance;Social Economy;CARD4ALL;98;Connecting Cities, Citizens and Services;ES;https://urbact.eu/card4all;2018;NA;"CARD4ALL with the motto ""Your city in your pocket"",is a Transfer Network focused on the implementation of innovative services and technologies through a Citizen Card System. Cities can gather information to improve their services and use it for participative processes.It can be applied to promote social inclusion, local trade, urban mobility and sustainable living, thus creating a Smart City with Smart Citizens.The technology used allows the transferability and replication in different contexts.";;Cities;Europe;Southern Europe;7;ES16;Gijon;Urbact III;Transfer
Inclusion;Governance / Health / Social Economy;CHANGE!;10;Social design of public services;NL;http://urbact.eu/change;2015;2018;"Today public services are faced with ever increasing public expectations and societal challenges. Inevitably, a paradigm shift is needed in particular in cities where these challenges are culminated. The insight of frontline workers and the engagement and better involvement of citizens and communities are key elements for a better public service system, and shall therefore be in the core of the Change!
The project's lead partner City of Eindhoven has in recent years made steps to empower the citizens more and to share their innovative ideas"" to work with them and not just for them. Realizing that in a collaboration with the citizens , the end-users of their services, they can together co-create better public service. The CHANGE project makes it possible to further explore and improve the steps already taken and share the experiences of other European cities.    
Therefore, the main goal with CHANGE! is to identify parameters and model pathways for culturally diverse cities enabling then to move forward towards a more collaborative public service model.";"
The partnership look forward to collaborate further on how to ensure a better public service by engaging the citizens themselves in the social innovation design. The partnership consist of, beside the lead partner from City of Eindhoven, four other local public authorities from Nagykanizsa (Hungary), Gdansk (Poland), Forli (Italy) and Dun Laoghaire Rathdown (Ireland).";Cities;Europe;Western Europe;9;NL7;Eindhoven;Urbact III;Action Planning
Integrated Urban Development;Governance / Capacity Building/ City Planning/ Strategic Planning;CIA 7;83;New European Tools for Urban Development;FR;http://urbact.eu/cia-7;2016;NA;The project consists in exchanges between European cities on the implementation of Article 7 of European Regulation. For the first time the European Commission dedicated 50 B' to the development of European cities for 2014-2020. The European Commission developed tools such as the Integrated Territorial Investment or the Urban Axis in order to get the results and objectives closer to the needs of the cities and further than national level. The CIA 7 network consists in understanding the role of the cities in this 2014-2020 European programming and the way they use the tools to their development. One city is one way to implement Article 7 but we are all facing the same challenges and we all have the same goal to implement the integrated strategy at the local level. How to achieve this aim during a fixed programming period? What do we want to develop? How to include all stakeholders to build the project? To answer these questions, the network will develop exchanges between partners into topics such as the development of integrated approach, the involvement of local stakeholders, the evaluation and the gap between strategy and implementing. The network would like to develop recommendations to cities implementing Article 7 and to be part of the discussions for the next programming period.;;Cities;Europe;Western Europe;8;FR16;Lille;Urbact III;Implementation
Governance;Entrepreneurship & SMEs / Local Economy / Social Economy;CITIES4CSR;99;Comprehensive municipal strategies to foster and stimulate corporate responsibility in urban areas;IT;https://urbact.eu/cities4csr;2019;NA;Through intensive capacity building of all local actors, the network intends to increase collaboration among municipalities, businesses and the civic society in order to promote sustainable, inclusive and innovative urban change. The project aims at increasing the role and added value of companies’ CSR activities at local level, towards urban regeneration and social innovation, with a special emphasis on education, in order to better address emerging and unmet local needs.;;Cities;Europe;Southern Europe;10;IT22;Milan;Urbact III;Action Planning
Economy;City Branding ;City-as-a-Startup;100;City branding strategies & smart city technologies;RO;;2019;NA;The Good Practice city will accompany the transfer cities in the process of testing city branding and smart city technologies solutions meant to contribute to the sustainable development of the cities with the involvement of the local stakeholders. Alba Iulia will share experience and know-how but also will contribute with practical examples that are easily to be transferred by the follower cities and will provide assistance for creating and implementing their own city branding strategy.;;Cities;Europe;Eastern Europe;3;RO1;Alba Iulia;Urbact III;Transfer
Integrated Urban Development;Physical Urban Development / Economy / City Branding / Jobs and skills / Local Economy / Research & Innovation;CityCentreDoctor;11;An URBACT APN with a focus on revitalising city centres;IT;http://urbact.eu/citycentredoctor;2015;2018;"Centres of smaller cities offer environments that attract people to work, visit and live. People spend their free time there and build up emotional connections with the place. In previous eras the catchment population depended on their city centres for work, social, cultural and commercial activity. Today, as connectivity and mobility of the population increased, city centres have to meet several key challenges in order to survive and thrive. 
The above trends are accentuated in smaller cities, whose centres have deteriorated considerably over the past decade. In particular, smaller cities located in commuting distance to large cities or to more developed countries are affected by specific challenges. 
The project idea was conceived with the conviction that smaller cities can be resilient and prosperous even in the""shadow' of larger cities if their city centres are able to retain a good proportion of the custom and spend of the local population as well as being perceived as an attractive place to start or expand a business.";;Cities;Europe;Southern Europe;9;SI2;Idrija;Urbact III;Action Planning
Integrated Urban Development;Environment / Carbon Neutrality / Mobility;CityMobilNet;13;Network for co-productive development of sustainable urban mobility plans empowering cities to create joint visions, targets and sets of measures to manage their future city progress;DE;https://urbact.eu/citymobilnet;2015;2018;"CityMobilNet takes on one of the most prominent policy challenges for Europe's cities today: urban transportation.
 
The European Commission underlines the importance of urban transportation due to the central role of cities for growth, employment and the welfare of citizens. Cities need an efficient transportation system to come up to this central role. However, cities' transportation reality faces major problems and increasing inefficiency. Such problems are amongst others the high loads of GHG emissions deriving from urban transportation as well as the increased costs cities face from chronic congestions, coming up to"" 80 billion/year EU-wide.
 
CityMobilNet faces these major problems of urban transportation by empowering cities to develop sustainable urban mobility strategies counteracting their transport related problems. The network takes up the concept of Sustainable Urban Mobility Plans, which design urban transportation development in a comprehensive and co-productive process for a time scope of 10-15 years. The strength of these plans lies in taking a view on all transportation aspects AND all related issues of other urban policy fields as well as consequently establishing a Local Action Group that pools forces of all relevant stakeholders out of this. The Local Action Group takes a strong participatory approach for creating the plan for the future development of urban transportation.";"
Thanks to the support and knowledge provides through the URBACT programme, CityMobilNet will adapt the concept of Sustainable Urban Mobility Plans to the diverse local needs of its cities. Our cities produce their plans at the background of their specific transportation challenges and their planning and participation culture. They gain the needed capacities and knowledge thanks to the network's joint learning and exchange activities. Cities will be able to use these proficiencies for further urban transportation strategies but also for solutions and policies of other urban policy challenges.";Cities;Europe;Western Europe;11;DE4;Bielefeld;Urbact III;Action Planning
Governance;Abandoned Spaces / Social Economy;Civic eState;101;Pooling the urban commons as civic patrimony;IT;https://urbact.eu/civic-estate;2018;NA;The network purpose is to transfer through adaptation the Good Practice of the City of Naples, Lost & Found. The network aims at guaranteeing the collective enjoyment as well as collective management of urban essential facilities conceived as urban commons. This public-community governance approach will secure fair and open access, participatory decision-making, sustainability and preservation for the benefit of future generations.;;Cities;Europe;Southern Europe;7;IT23;Naples;Urbact III;Transfer
Integrated Urban Development ;Poverty / Priority Neighbourhoods;Com.Unity.Lab;135;Lisbon Local Development Strategy for Neighbourhoods or Areas of Priority Intervention (BIP/ZIP): an integrated toolbox;PT;https://urbact.eu/comunitylab;2018;NA;Lisbon Local Development Strategy for areas of Priority Intervention provides the city a range of integrated tools to tackle urban poverty and empower local communities. The strategy is based on a co-governance and bottom-up participatory perspective, ensuring a horizontal and collaborative local approach, to mitigate social, economic, environmental and urban exclusion, resulting in a smart and effective toolbox to implement a sustainable urban living and enhance social-territorial cohesion.;;Cities;Europe;Southern Europe;8;PT13;Lisbon;Urbact III;Transfer
Inclusion;Culture & Heritage;Come in!;102;A community festival celebrating the city's built heritage and common values;HU;https://urbact.eu/come;2019;NA;The joint policy challenge of the Come in! Transfer Network partner cities (Újbuda–HU, Forli–IT, Gheorgheni–RO, Varazdin-HR, Targówek-PL, Plasencia-ES, Pori-FI)is to mobilise citizens, foster civilian power and urban stewardship through raising awareness towards the values of built heritage to decrease social isolation. This also highlights the brokerage role of municipalities (reating conditions for stakeholders to creatively shape urban environment and public policies).;;Cities;Europe;Eastern Europe;7;HU14;Újbuda;Urbact III;Transfer
Economy;Governance / City Branding / Culture & Heritage / Entrepreneurship & SMEs / Local Economy;CREATIVE SPIRITS;84;Boosting creative entrepreneurship through creative-based urban strategies;HU;http://urbact.eu/creative-spirits;2016;NA;" The nine CREATIVE SPIRITS partner cities have a common need to improve the implementation of their existing integrated urban strategies/action plans by including novel approaches linked to creative and cultural industries (CCI)"" creative places, people, and businesses. The joint policy challenge for the network is to better facilitate the above""creative ecosystem' to be able to attract (more) creative entrepreneurs and boost creative entrepreneurship in dedicated urban areas. Creative industries comprise economic activities that create economic value through the generation and exploitation of intellectual property. A city is able to mobilise ideas, talents and creative organizations when it knows how to foster a creative milieu by identifying, nurturing, attracting and sustaining talent. Local governments all over the world are increasingly becoming aware of the CCI's potential to generate jobs, wealth, and cultural engagement. With their diverse industries, variety of urban forms and as magnets of skilled workforce, and cultural diversity, cities and their emerging creative milieus (city centres, re-designed factories and brownfield areas, etc.) can be a supportive environment for the actors of the creative economy, ranging from arts and cultural institutions to vibrant start-up scenes. This is especially important since dynamic, youthful companies tend to value a vibrant, open-minded community life and the availability of services (shopping, cafes, and entertainment) as key location factors. The nine partner cities in the CREATIVE SPIRITS network already have, to different extents, strategies to boost the creative ecosystems in their cities. The central focus of the network is on how to implement these strategies. The partnership enables the partner cities to exchange knowledge and learn from each other to overcome the implementation challenges related to their creative urban strategies.";;Cities;Europe;Eastern Europe;9;HU14;Újbuda;Urbact III;Implementation
Governance;City Management/ Cross-border Cooperation/ Strategic Planning;DI4C;103;Digital Innovation 4 Cities;IT;https://urbact.eu/digiplace;2019;NA;"DI4C aims to set up an acceleration mechanism to enable cities to catch up the digitalisation opportunities in hard & soft infrastructure. Remove all the obstacles encountered by mid-sized cities in their digital journey: lack of strategic & global vision; lack of technical and engineering capacities; difficulties in incorporating the digital innovation. Municipalities need to guaranty the uptake of digital innovation by the local stakeholders: citizen and entrepreneurs.";Digiplace;Cities;Europe;Southern Europe;8;IT21;Messina;Urbact III;Action Planning
Economy;Carbon Neutrality / Entrepreneurship & SMEs / Local Economy;FIND YOUR GREATNESS;104;Europe’s first strategic brand building program for smart cites;RO;https://urbact.eu/find-your-greatness;2019;NA;Find your Greatness” is a concept that reflects the most challenges addressed by AIM together with other EU local communities. Why “Find your Greatness”? Because the challenge is to build on the cities'potential. In the case of the partners of the project the need identified locally and which was built as a sustainable mechanism generating urban development, the need to explore and enhance the potential of the city, combining strategic marketing approach with innovative smart city tools.;;Cities;Europe;Eastern Europe;8;RO1;Alba Iulia;Urbact III;Action Planning
Environment;Economy / Carbon Neutrality / Mobility;Freight TAILS;29;"Delivering Tailored Approaches for Innovative Logisitcs Solutions
Economy ECONOMY";UK;http://urbact.eu/freight-tails;2015;2018;"The Freight TAILS Action Planning Network will address the challenges posed by rapidly increasing freight movements, within the context of all urban logistics. Freight transport, by its very nature, negatively impacts on cities"" road delivery trips are increasing, they can be large, noisy, polluting, tending to be diesel vehicles. This Freight TAILS project will develop tailored freight management policies using the URBACT Integrated Action Planning methodology to pro-actively support the functioning of different growing cities, whilst reducing the carbon emissions associated with urban freight transport, and stimulating the low carbon urban freight sector.";"Action plans will be established to develop sustainable urban logistics approaches (micro/consolidation, SME co-ordination, retiming deliveries, efficient road space allocation), in specific urban areas (areas of high multi-tenanted office blocks, high street retail areas, areas dominated by single user (university campus or public sector administration), historic central areas). Business cases for different approaches, data on greenhouse gas emissions and traffic improvements, and recommendations for implementation will be key elements of the Action Plans.
The phase 2 partners are Cross River Partnership (whose accountable body is Westminster City Council) central London, UK; Brussels, Belgium; Gdynia, Poland; La Rochelle, France; Maastricht, The Netherlands; Parma, Italy; Split, Croatia; Suceava, Romania; Tallinn, Estonia; Umea, Sweden. Partners have a range of experience in freight management initiatives including for example the Low Emission Zones in London, Maastricht and Parma<U+FFFD>s experiences of running logistics centres / consolidation centres, and Suceava<U+FFFD>s experiences with Electric Vehicles.  ";Cities;Europe;Northern Europe;10;UK17;London;Urbact III;Action Planning
Economy;Entrepreneurship & SMEs / Local Economy / Research & Innovation / Youth;Gen-Y City;31;Developing, attracting & retaining Gen-Y 'creative tech' talent in European cities.;PL;http://urbact.eu/gen-y-city;2015;2018;"The Gen-Y City project will include activities dedicated to diagnosis and support for young, creative businesses as the means of reviving city centres
in the framework of the Gen-Y City project. Partners, in the 1st phase of the project, will be: Granada (Spain), Wolverhampton (United Kingdom), Klaipeda (Lithuania), Dyneburg (Latvia) and Genoa (Italy).
Poznan is a city where a very important group of innovative entrepreneurs operates. They cooperate with top entrepreneurs in Europe and worldwide, owing to their skills and creativity. Development of these firms is an important preoccupation of the Development Strategy for the City of Poznan, being currently updated. It embraces previous initiatives such as start-up, hackathon or actions implemented by the business incubator of Concordia Design Pozna?. Responding to the preferences of the so called Y generation, who is the main target of the project, as well as their willingness to live and work in city centre, the project will have a direct impact on the improvement of the quality of life in city centre(s).";"The task of the Project is to create, with participation of all partners, a three-layers network which will be able to function independently also over the end
of the Project. The layers of the network in question will include:
- an intersectoral network in each city which will connect young entrepreneurs, public sector and civic society (including non governmental organizations), involved in the creation and implementation process of the efficient policy of support to new business models in innovative and creative sectors and will offer them premises and create conditions favourable to their development,
- an interdepartmental network in city halls gathering internal clients/stakeholders, whose contribution is crucial to make the work on various aspects of the new support policy coherent and integrated,
- a network of cities (URBACT Action Planning Network) enabling the exchange of knowledge and best practices on the new support policy, also offering solutions to stimulate international cooperation of new businesses.
Those networks should bring a new, independent auxiliary system which can introduce an integrated plan of action including the policy of supporting young enterprises from innovative and creative sectors and which will be developed throughout the project.
Jamie Sims from Great Britain has become the Gen-Y City project expert. He is a qualified manager specializing in business strategies, services developement and project management in the private and public sector. Moreover, he is experienced in design, development, financing and introducing new products and services to the political environment.";Cities;Europe;Eastern Europe;12;PL18;Poznan;Urbact III;Action Planning
Governance;;Genderedlandscape;105;Mapping the gendered landscape - A sustainable and tailor-made method for inclusion and urban development;SE;https://urbact.eu/genderedlandscape;2019;NA;Creating conditions for gender equality through a holistic understanding of how gender inequality is created in the specific place. The action planning network creates an exchange on challenges faced by cities with an understanding of gender inequality that is globally understood but locally contextualized.;;Cities;Europe;Northern Europe;7;SE13;Umea;Urbact III;Action Planning
Integrated Urban Development;Carbon Neutrality / Health / Urban Planning;Health&Greenspace;107;Health-responsive planning and management of urban green infrastructure;HU;https://urbact.eu/healthgreenspace;2019;NA;As a response to the various health risks related to rapid urbanization and the densification of cities, the Health&Greenspace project promotes health-responsive planning and management of urban green infrastructure with an overall aim to bring health and well-being benefits for citizens across Europe. A holistic approach is applied by the network that addresses the main functions provided by urban green infrastructure that deliver health and social benefits.;;Cities;Europe;Eastern Europe;9;HU1;Budapest;Urbact III;Action Planning
Integrated Urban Development;Ageing/ Carbon Neutrality / Climate Adaptation / Health;HEALTHY CITIES;106;Healthy Cities from Planning to Action;ES;https://urbact.eu/healthy-cities;2019;NA;"The project proposes to create a network of cities to deepen the relationship between health and the urban environment, develop policies that focus on the improvement of the health status of the population; as well as developing a rigorous health impact assessment of these policies. Cities may consider actions from different points of view and through different policies, but the global health perspective, will provide a common framework and will allow to share methodologies.";;Cities;Europe;Southern Europe;9;;Vic;Urbact III;Action Planning
Economy;City Branding / Entrepreneurship & SMEs / Local Economy ;In Focus;36;"Smart Specialisation at City Level
";ES;http://urbact.eu/In-Focus;2015;2018;"In Focus is a network of cities that are willing to enhance their competitiveness and job creation capability by positioning in the new economic landscape according to their specialisation strategies, which are each of them currently focused on a variety of different productive backgrounds and sectorial priorities. The key challenge to be addressed by this network is to develop better and more efficient urban policies in order to reinforce and create economic activity on prioritized business sectors. This means to facilitate the identification and capturing of new emerging sectorial opportunities, but it also embraces cross-cutting features like talent development and entrepreneurship, innovation or branding and marketing the city as business location, among others.

Despite the proliferation of the so-called smart specialisation strategies at regional and national levels, there remains a shortage of experimentation on how to design and implement those strategies in urban economies, duly articulated to those upper scales. That challenge is also linked to the limited experience in building up consistent industrial policies at urban level in most of the Member States. All of this shows the need for exchanging knowledge, under an integrated urban development perspective, on how sectorial policies can be improved and better connected to Smart Specialisation Strategies at city level, in order to crystallize into an Integrated Action Plan by each of the partner cities.";;Cities;Europe;Southern Europe;10;ES9;Bilbao;Urbact III;Action Planning
Governance;Research & Innovation / Social Economy;Innovato-R;108;Innovative projects improving the Administration performances, reducing wastes and/or valuing resources ;IT;https://urbact.eu/innovato-r;2018;NA;Innovato-R project is a competition open to Municipality employees aimed at developing innovative projects improving the Administration performances, reducing wastes and/or valuing resources. Proposals can be focused on service quality, goods/services acquisition, costs rationalization, energetic optimization, bureaucratic impact reduction, increase data and in digital tools management.;;Cities;Europe;Southern Europe;7;IT41;Turin;Urbact III;Transfer
Integrated Urban Development;Physical Urban Development / Economy / Culture & Heritage / Jobs and skills / Local Economy / Social Economy;INT-HERIT;85;Innovative Heritage Management;ES;http://urbact.eu/int-herit;2016;NA;The INT-HERIT implementation network brings together a set of 8 small and medium-sized European cities around the common goal of revitalizing the local cultural heritage. In a context of crisis and institutional reorganization of local governments, the IN;;Cities;Europe;Southern Europe;9;ES6;Baena;Urbact III;Implementation
Economy;Governance / City Branding / Climate Adaptation;INTERACTIVE CITIES;37;Digital, social media and user-generated content improving urban governance;IT;https://urbact.eu/interactive-cities;2015;2018;"Interactive Cities is a cutting-edge project aimed at exploring how digital, social media and user generated content can improve today’s urban management in European cities, whatever size.
This challenge will be tackled in two ways.
Firstly, as an opportunity to redefine and deepen the concept of citizenship and civic engagement today, providing a path to spark cohesion, commonalities and shared value as well as increasing sense of place. In other words, making the most of the new channels to revisit the relationship between the individual and the local community in the digital era.
Secondly, as a way to improve the quality of public services, in terms of efficiency and transparency, and even widen the current service chart provided by  local authorities.
Interactive Cities will focus not only on the technological side but also on how this kind of innovation can be concretely useful for local authorities and urban residents, promoting better urban governance, citizen participation and economic growth.";"The international cross-learning on this issue will be organized into three main sub-themes:
Communicating the city as an attractive tourist destination strengthening its image both locally and internationally 
Communication of business promotion strengthening the city’s conditions through the support of local companies, both existing potentially new ones 
Communicating urban development by making understandable to a wide audience often very complex technical matters, balancing the involvement of inhabitants in the decision making process and explaining why plans have been approved by the administration.";Cities;Europe;Southern Europe;10;IT19;Genoa;Urbact III;Action Planning
Economy;Digital Transition;IoTXchange;109;Internet of Things as a policy instrument for the city change;PT;https://urbact.eu/iotxchange;2019;NA;IoTXchange encourages the creation of a network of European cities committed to the design of digitalization plans based on Internet of Things (IoT) solutions to increase the quality of life in small and medium sized EU cities. Urbact methodology based on transnational cooperation between cities and engagement of local groups offer to our network the conditions to develop an Integrated Action Plan that will guide us through a new age of digital transformation.;;Cities;Europe;Southern Europe;9;PT11;Fundão;Urbact III;Action Planning
