Sources;Years;Main.Key.Word;Additionnal.key.words;Name;Code_Network;Description;LeadPartnerCountry;Url;Statut;Start;End;Aims;Activities;Members;Continent;Region;NbCities;PopMean;PopMed;PopSd;PopVar;PopMeanUMZ;PopMedUMZ;PopVarUMZ;PopSdUMZ;CodeCity;LeadPartner;PopMedPartner;POPLAU2_2015;LeadPartnerUMZ;PopMedPartnerUMZ;Pop2011;PopMedPartner;PopMeanPartner;PopMedPartnerUMZ;PopMeanPartnerUMZ;Phase;UMZClass;ClassSizeUMZLead;DecSizeUMZLead
http://urbact.eu;2016;Integrated Urban Development / Economy;City Branding/ Employment/ Local Economic Development/ Research & Innovation/ Strategic Planning;CityCentreDoctor;11;An URBACT APN with a focus on revitalising city centres;IT;http://urbact.eu/citycentredoctor;Ongoing;2015;2018;"Centres of smaller cities offer environments that attract people to work, visit and live. People spend their free time there and build up emotional connections with the place. In previous eras the catchment population depended on their city centres for work, social, cultural and commercial activity. Today, as connectivity and mobility of the population increased, city centres have to meet several key challenges in order to survive and thrive. 
The above trends are accentuated in smaller cities, whose centres have deteriorated considerably over the past decade. In particular, smaller cities located in commuting distance to large cities or to more developed countries are affected by specific challenges. 
The project idea was conceived with the conviction that smaller cities can be resilient and prosperous even in the <U+FFFD>shadow<U+FFFD> of larger cities if their city centres are able to retain a good proportion of the custom and spend of the local population as well as being perceived as an attractive place to start or expand a business.";;Cities;Europe;Southern Europe;9;29222,22222;21393;25843,30313;667876316,7;76505,66667;26896;10462592953;102286,8171;SI2;Idrija;21454;11926;;27211,5;11926;21454;31384,25;27211,5;84578,125;Urbact III;Small City;5.Very Small City;1
http://urbact.eu;2016;Governance / Economy;City Branding/ Culture & Heritage;CityLogo;12;CityLogo is a transnational learning experience on citybranding and -marketing in modern urban politics. It is about a better positioning of cities in the (post) crisis economic arena and reinforcing the communication dimension in urban management.;NL;http://urbact.eu/citylogo;Closed;2013;2015;CityLogo is a network on Innovative Place-Brand Management that has been launched as a reaction to the most common gaps in the way cities and regions address branding and marketing. The rationale is that city-branding should be embedded in broader and participatory processes of re-thinking urban identities to be then filtered by urban-driven communication codes, resulting in more powerful brand-toolkits. In addition, more effective formulas for stakeholder involvement and management should be widely promoted. A multi-dimensional task fed by different perspectives and local agents, with a clear strategic scope. In short, a true exercise of integrated urban management.;;Cities;Europe;Western Europe;10;519621;435657,5;479639,4529;2,30054E+11;565601,4;510353;3,58093E+11;598408,9999;NL14;Utrecht;535631;334139;Utrecht;536075;484631;535631;540230,1111;536075;574598,1111;Urbact II;Large City;3.Medium-sized City;5
http://urbact.eu;2016;Integrated Urban Development;Low Carbon/ Urban Mobility;CityMobilNet;13;Network for co-productive development of sustainable urban mobility plans empowering cities to create joint visions, targets and sets of measures to manage their future city progress;DE;;Ongoing;2015;2018;"CityMobilNet takes on one of the most prominent policy challenges for Europe<U+FFFD>s cities today: urban transportation.
 
The European Commission underlines the importance of urban transportation due to the central role of cities for growth, employment and the welfare of citizens. Cities need an efficient transportation system to come up to this central role. However, cities<U+FFFD> transportation reality faces major problems and increasing inefficiency. Such problems are amongst others the high loads of GHG emissions deriving from urban transportation as well as the increased costs cities face from chronic congestions, coming up to <U+FFFD> 80 billion/year EU-wide.
 
CityMobilNet faces these major problems of urban transportation by empowering cities to develop sustainable urban mobility strategies counteracting their transport related problems. The network takes up the concept of Sustainable Urban Mobility Plans, which design urban transportation development in a comprehensive and co-productive process for a time scope of 10-15 years. The strength of these plans lies in taking a view on all transportation aspects AND all related issues of other urban policy fields as well as consequently establishing a Local Action Group that pools forces of all relevant stakeholders out of this. The Local Action Group takes a strong participatory approach for creating the plan for the future development of urban transportation.";"
Thanks to the support and knowledge provides through the URBACT programme, CityMobilNet will adapt the concept of Sustainable Urban Mobility Plans to the diverse local needs of its cities. Our cities produce their plans at the background of their specific transportation challenges and their planning and participation culture. They gain the needed capacities and knowledge thanks to the network<U+FFFD>s joint learning and exchange activities. Cities will be able to use these proficiencies for further urban transportation strategies but also for solutions and policies of other urban policy challenges.";Cities;Europe;Western Europe;11;263915,3636;178864;286576,1733;82125903092;611514,7273;177773;9,48758E+11;974042,2124;DE4;Bielefeld;127002;321758;Bielefeld;154155,5;339383;127002;258131,1;154155,5;638727,9;Urbact III;Large City;3.Medium-sized City;4
http://urbact.eu;2016;Governance / Economy;Strategic Planning/ Urban Renewal/ Urban-rural;CityRegion.Net;14;"Develop new structures and tools that make it possible to improve collaboration on the \\""city-region\\"" level.";AT;http://urbact.eu/cityregionnet;Closed;2008;2011;Urban sprawl continues to be a predominant trend in European spatial development. Cities function as motors for social and economic development and are vital for common integrated planning. They are also basic service providers for the whole region. It is essential that urban development and planning goes hand in hand with integrated development of the hinterland. Discussions and moderated processes need to take place about duties and functions that could be shared between towns and their surrounding municipalities. ;Cooperations should be formed to guarantee the best use of public and private investments. By identifying best practices and by adapting these models to particular local needs the network aims to improve multilevel governance and counteract urban sprawl.;Cities;Europe;Western Europe;9;299757,7778;203494;358414,2951;1,28461E+11;353315,6667;204937;2,379E+11;487749,6232;AT1;Graz;201175,5;274207;Graz;203613;307974;201175,5;302951,625;203613;358983,375;Urbact II;Large City;3.Medium-sized City;4
http://urbact.eu;2016;Inclusion / Governance;City Management/ Disadvantaged Neighbourhoods/ Participation;CoNet;15;Exploring current approaches to strengthen social cohesion in neighbourhoods;DE;http://urbact.eu/conet;Closed;2008;2011;"CoNet collects, reflects and improves the knowledge about integrated approaches to strengthen social cohesion in neigbourhoods. The knowledge is implemented in innovative local projects espacially in the fields of community life, education, economy and employment.
Integrated approaches do have more impact to improve the situation than traditional sectoral projects. This is highly needed especially in CoNet's concerned deprived urban areas.";The Cohesion network CoNet has three pillars: firstly the work of 11 Local Support Groups working on Local Actionplans. Secondly 11 thematic meetings, one in each partner city and thirdly a city to city project support scheme bringing officers and experts from one city to an other city to ensure a direct transfer of know-how.;Cities;Europe;Western Europe;11;636469,2727;276969;972527,6614;9,4581E+11;1631165,727;1175730;2,57492E+12;1604655,98;DE3;Berlin;233924,5;3382170;Berlin;974567,5;3702370;233924,5;361899,2;974567,5;1424045,3;Urbact II;Large City;1.Very Large City;9
http://urbact.eu;2016;Governance / Economy;Capacity Building/ City Management/ Culture & Heritage/ Entrepreneurship & SMEs/ Local Economic Development/ Research & Innovation;Creative Clusters;16;The starting assumption of the project is that creativity can act as a driving force for economic development of small urban centres and not only of big cities. Thus, the main value-added that the work of the Creative Clusters network can produce is to transfer the <U+FFFD>creative city model<U+FFFD> (too much focused on big and middle-sized metropolis) to low density urban areas. In other words, to transfer a range of so far considered urban attributes (accessibility, cultural life, technological facilities, competitive clusters, global networking, etc.) to middle-sized and small towns.;PT;http://urbact.eu/creative-clusters;Closed;2008;2011;"the project is going to explore the capacity of the creative issue to impulse a sort of leapfrog in terms of social and economic development for small and midsize towns as well as an excellent opportunity to re-think rural development.
The objective of this URBACT network is to promote the exchange of experiences and best practices and the proposal of policy recommendations and action plans related to creative clusters in low density urban areas. It is also an intention of the partners to assist policy-makers and managers of Operational Programmes to define initiatives in this field, which may be selected for Structural Funds programmes.";;Cities;Europe;Southern Europe;9;129594,1111;90840;165685,1617;27451572819;309491,6667;130816;3,44598E+11;587024,5956;PT13;Lisbon;76966,5;547733;Lisboa // Sintra;110310,5;1851170;76966,5;77326,75;110310,5;116781,875;Urbact II;Large City;2.Large City;7
http://urbact.eu;2016;Governance / Economy;Culture & Heritage/ Entrepreneurship & SMEs/ Knowledge Economy/ Local Economic Development/ Research & Innovation;Creative SpIN;17;"Creative \\""Spillovers\\"" for Innovation aims to create a Thematic Network across Europe which will address the challenges of how best to connect cultural and creative industries, including sectors such as audiovisual, design, advertising, architecture and video games, with other sectors, to stimulate the effects of \\""spill over\\"".";UK;http://urbact.eu/creative-spin;Closed;2013;2015;"\\""Creative spillovers\\"" has in most recent  times, come to the forefront of the government's agenda.  Policy makers and theorists alike are of the opinion that Culture and Creative Industries (CCIs) can assist in the delivery of innovative processes by \\""...generating spillovers that benefit the wider economies of the places where they are located\\"" (NESTA 2010).
The project will therefore aim to inspire a sustainable and integrated approach to 21st century partnership working, by building capacity and empowering cities to unlock a largely untapped resource, promoting inclusiveness to deliver sustainable growth and regeneration.";Creative SpIN will set tools and methods to trigger creativity and innovation in businesses and other kinds of public and private organisations by encouraging artists, creative professionals (in advertising, design, architecture), cultural institutions and industries to engage with other sectors to share their competencies and skills.;Cities;Europe;Northern Europe;9;394870,1111;386181;348044,8182;1,21135E+11;1147813,889;482270;1,74789E+12;1322078,169;UK5;Birmingham;312989;1111300;West Midlands;446691,5;2458250;312989;305316,375;446691,5;984009,375;Urbact II;Large City;1.Very Large City;8
http://urbact.eu;2016;Integrated Urban Development / Governance;City Management/ Financial Engineering/ Strategic Planning/ Urban Renewal;CSI Europe;18;The aim of the JESSICA initiative is to support <U+FFFD>sustainable investment in cities<U+FFFD>. Through the implementation of the initiative, Urban Development Funds are emerging as potentially powerful tools to pursue sustainable urban transformation. CSI Europe will build upon the achievements to date to improve the effectiveness of current delivery and future potential.;UK;http://urbact.eu/csi-europe;Closed;2013;2015;The Network will focus on the involvement of cities in Urban Development Fund (UDF) structures and the way these instruments can be more effectively embedded in future city planning and governance. It will also strive to demonstrate the role that financial instruments can play in efficiently planning, progressing and administering urban development priorities, particularly in the context of the current economic and financial crisis. ;;Cities;Europe;Northern Europe;10;431085,6;503926;196630,6052;38663594917;1020858,6;695026,5;1,08573E+12;1041983,297;UK18;Manchester;493208;530300;Greater Manchester;660092;3792250;493208;420061,7778;660092;712926,2222;Urbact II;Large City;1.Very Large City;9
http://urbact.eu;2016;Integrated Urban Development / Governance;"
Abandoned Spaces/ City Management/ Culture & Heritage/ Entrepreneurship & SMEs/ Local Economic Development/ Participation/ Strategic Planning/ Urban Renewal";CTUR;19;Cruise activity and the recovery of urban and harbour building heritage: Strong elements of the common interest of sea towns to develop and strengthen the urban tourism sector.;IT;http://urbact.eu/ctur;Closed;2009;2011;"CTUR enquires into how port-cities can be productive and no longer simple transit areas through cruise tourism activity.
This means that one of the issue is also to solve the tensions between port functions and urban functions, to answer to inhabitants<U+FFFD> aspiration in terms of employment, quality of life, housing and satisfying offers of equipment and public spaces.
The topic <U+FFFD>Cruise traffic and urban regeneration<U+FFFD>, initially proposed by the city of Naples, registers in the continuity of work conducted from 2005-2007 in the framework of the working group SUDEST, centred on the study of specificities of the sustainable development of port cities.";"During this programme, the partners identified a tendency of the port cities to propose city-port interface as a place where are articulated new metropolitan logics and where, in a way, is organized <U+FFFD>the future of the port city<U+FFFD>
In many projects of waterfront development, cruise activity is offered as a strong element of the port cities will to develop/reinforce the urban tourism industry.
Port cities must invest in a double competition: the one that the ports have to engage in order to catch maritime traffic, and the one that livens up the cities to reinforce their position on the European territory.
This is why cruise activity is the main subject of CTUR project.";Cities;Europe;Southern Europe;9;402888,2222;329325;309838,7203;96000032622;784889,5556;400555;5,84401E+11;764461,2378;IT23;Naples;267369;978399;Napoli;361123,5;2435950;267369;330949,375;361123,5;578507;Urbact II;Large City;1.Very Large City;8
http://urbact.eu;2016;Environment / Economy;"
City Management/ Energy Efficiency/ Food/ Health/ Low Carbon/ Urban-rural/ Youth";Diet for a Green Planet;20;Food and agriculture accounts for a key part of global environmental challenges including climate change, biodiversity, nitrogen and phosphorus. Diet for a Green Planet is a way for every person who eats food to engage and become part of the solution.;SE;http://urbact.eu/diet-green-planet-0;Closed;2013;2015;"The Diet Unit of S<U+FFFD>dert<U+FFFD>lje municipality has had a key role in the development of this practice by successfully implementing the ideas broadly in the public kitchens under strict budget conditions.
A key part of the practice is that it has challenged attitudes around food and shown a potential to be a powerful tool for combating climate change and other global ecological challenges <U+FFFD> and at the same time raise the general quality of the food served, promote health and empower personnel <U+FFFD> within the same strict food budget. This makes public meals a driver for sustainable development.";"Through the projects the Diet Unit has been involved in and through the continuous close cooperation with the BERAS Secretariat the development of the practice has had a continuous connection to research and global network resources and especially Baltic Sea Region. Thanks to this the Diet for a Green Planet concept stands on a solid ground.
The basic principles of Diet for a Green Planet are:
- Good and healthy food
- Organically grown and ideally from Ecological Recycling Agriculture farms
- Less meat, more vegetables and wholegrain
- Seasonal food
- Locally produced
- Reduced waste";Cities;Europe;Northern Europe;4;56904;57437,5;29456,01735;867656958;104111;74687,5;11942697445;109282,6493;SE10;Södertälje;52096;92041;Sodertalje;63129;86246;52096;45191,66667;63129;110066;Urbact II;Small City;4. Small City;2
http://urbact.eu;2016;Governance;City Management/ Cross-border Cooperation/ Strategic Planning;EGTC;21;The first objective of the EGTC URBACT project is to promote the development of cross-border urban development strategy.;FR;http://urbact.eu/egtc;Closed;2008;2010;The EGTC project works on the promotion of innovative governance tools in a panel of cross-border agglomerations. Whereas some cross-border conurbations are quite in advance in the governance process, other ones, especially from the new Member States, need good practices as model, to be adapted to their own context. The <U+FFFD>EGTC<U+FFFD> URBACT project aims to enable stakeholders of urban development in cross-border conurbations to exchange on governance methods regarding any kind of projects, strategies (from observation, urban planning, operational projects to cross-border integrated urban strategies), different legal tools (cross-border convention, common structures, public and private partnerships<U+FFFD>), and to identify concrete results, success and failure, so as to improve cross-border cooperation (institutionally, legally, financially<U+FFFD>).;The European grouping of territorial cooperation (EGTC), the new European instrument, is today the only legal tool allowing multi-level governance including national authorities when necessary. The <U+FFFD>EGTC<U+FFFD> URBACT aims to study how it could become a European tool of reference to support governance of cross-border conurbations;Cities;Europe;Western Europe;7;427649,4286;167386;801200,9992;6,41923E+11;1792063,429;167386;1,46947E+13;3833368,416;FR26;Paris;104314,5;2229621;Paris;123828;10416100;104314,5;127320,8333;123828;354724;Urbact II;Large City;1.Very Large City;10
http://urbact.eu;2016;Integrated Urban Development / Governance;Local Economic Development/ Strategic Planning/ Urban Mobility/ Urban Renewal;ENTER.HUB;22;ENTER.HUB promotes the role of railway hubs/multimodal interfaces of regional relevance in medium cities as engines for integrated urban development and economic, social and cultural regeneration.;IT;http://urbact.eu/enterhub;Closed;2013;2015;"aims at developing innovative planning tools enhancing urban planning and city policies in order to reach a sustainable urban and territorial development thanks to the strengthening and widening of the railway systems, particular by exploiting the economic, cultural and social inducts of railway hubs of regional relevance.
The network of local actors will redefine territorial/functional systems around these hubs, by exploiting these <U+FFFD>agglomerates of flows<U+FFFD> to strengthen connectivity at a local/ regional/ EU level for cities to become more competitive, to attract population and business in the face of the economic crisis.";;Cities;Europe;Southern Europe;12;184693,3333;132522;177503,7242;31507572092;347394,75;176109,5;1,35738E+11;368427,0578;IT34;Reggio Emilia;122719;171655;Reggio nell'Emilia;191794;160425;122719;185878,6364;191794;364392;Urbact II;Large City;3.Medium-sized City;3
http://urbact.eu;2016;Governance / Economy;Capacity Building/ Education/ Employment/ Entrepreneurship & SMEs/ Local Economic Development;ESIMeC;23;Economic Strategies and Innovation in Medium-Sized Cities. How medium sized cities can generate new employment opportunities, prepare workers for jobs, and address mismatches between the supply of labour and demand for workers;UK;http://urbact.eu/esimec;Closed;2009;2012;"ESIMeC brings together eight medium sized cities from across Europe that share similar challenges and priorities.
The main aim of ESIMeC is to develop innovative economic strategies that capitalise on the assets and specificities of medium sized cities to ensure they are better equipped to cope with economic downturns and to encourage faster economic recovery as well as long term economic growth and resilience.";;Cities;Europe;Northern Europe;8;128516;112153,5;60154,6061;3618576635;537559,875;109797,5;1,37542E+12;1172785;UK3;Basingstoke and Deane;116952;107355;Basingstoke/Basing;120045;99550;116952;131539;120045;600132,7143;Urbact II;Small City;4. Small City;2
