"location";"osm_id";"osm_type";"name";"housenumber";"street";"postcode";"city";"state";"country";"osm_key";"osm_value";"lon";"lat";"msg"
"21600, Pargas, Finland";"2374269";"R";"Pargas";NA;NA;"21600";"Pargas";"Southern Finland";"Finland";"boundary";"administrative";22,2702572338554;60,2397024;NA
"10412, Tallinn, Estonia";"29787492";"N";"Tallinn";NA;NA;"10146";NA;NA;"Estonia";"place";"city";24,7453688;59,4372155;NA
"80012, Pärnu, Estonia";"864897266";"N";"M/S Estonia 1994";NA;"Muuli";"80012";"Pärnu";NA;"Estonia";"historic";"monument";24,4837514;58,3820487;NA
"560, Helsinki, Finland";"34914";"R";"Helsinki";NA;NA;NA;NA;"Southern Finland";"Finland";"place";"city";24,9425683;60,1674086;NA
"12618, Tallinn, Estonia";"29787492";"N";"Tallinn";NA;NA;"10146";NA;NA;"Estonia";"place";"city";24,7453688;59,4372155;NA
"1301, Vantaa, Finland";"5091112621";"N";"Flea Market Lanttila Vantaa";"4";"Kalustetie";"01720";"Vantaa";"Southern Finland";"Finland";"shop";"convenience";24,8175841;60,2768646;NA
"48100, Kotka, Finland";"30969529";"N";"Kotka";NA;NA;"48100";NA;"Southern Finland";"Finland";"place";"city";26,9450844;60,4674228;NA
"26101, Rauma, Finland";"128246364";"W";"Old Rauma";NA;NA;"26100";"Rauma";"Western Finland";"Finland";"place";"suburb";21,513689943511;61,1281278;NA
"51014, Tartu, Estonia";"293620554";"N";"Tartu";NA;NA;"53007";NA;NA;"Estonia";"place";"city";26,72245;58,3801207;NA
"20500, Turku, Finland";"492886125";"N";"Turku satama";NA;NA;"20200";"Turku";"Southern Finland";"Finland";"railway";"station";22,2232791;60,4347298;NA
"FI-33200, Tampere, Finland";"114096769";"W";"Tampere-Pirkkala Airport";NA;"Myötätuuli";"33980";"Pirkkala";"Western Finland";"Finland";"aeroway";"aerodrome";23,5964067753764;61,4121385;NA
"LV-1050, Riga, Latvia";"2315335266";"N";"Humana Latvia";"1";"Maskavas Street";"LV-1050";"Riga";"Vidzeme";"Latvia";"shop";"clothes";24,1147908;56,9428599;NA
"FI-28600, Pori, Finland";"292835602";"W";"Finland Street";NA;NA;"15224";"Pittsburgh";"Pennsylvania";"United States of America";"highway";"residential";-79,9606161;40,4580276;NA
"92413, Kärdla, Estonia";"325740001";"W";"Kärdla Airport";NA;"Lennujaama tee";"92302";NA;NA;"Estonia";"aeroway";"aerodrome";22,8337881640135;58,9883153;NA
"10135, Tallinn, Estonia";"29787492";"N";"Tallinn";NA;NA;"10146";NA;NA;"Estonia";"place";"city";24,7453688;59,4372155;NA
"11121, Stockholm, Sweden";"25929985";"N";"Stockholm";NA;NA;"111 29";NA;"Stockholm County";"Sweden";"place";"city";18,0710935;59,3251172;NA
"4400, Järvenpää, Finland";"205255204";"W";"Järvenpääntie";NA;NA;"44300";"Konnevesi";"Western Finland";"Finland";"highway";"unclassified";26,2654198;62,6219672;NA
"FIN-01300, Vantaa, Finland";"5091112621";"N";"Flea Market Lanttila Vantaa";"4";"Kalustetie";"01720";"Vantaa";"Southern Finland";"Finland";"shop";"convenience";24,8175841;60,2768646;NA
"62157, Visby, Sweden";"6846527";"R";"Visby Airport";NA;"Flottiljvägen";"621 41";"Norra Visby";"Gotland County";"Sweden";"aeroway";"aerodrome";18,3470585514955;57,66543765;NA
"FIN-20500, Turku, Finland";"492886125";"N";"Turku satama";NA;NA;"20200";"Turku";"Southern Finland";"Finland";"railway";"station";22,2232791;60,4347298;NA
"20520, Turku, Finland";"492886125";"N";"Turku satama";NA;NA;"20200";"Turku";"Southern Finland";"Finland";"railway";"station";22,2232791;60,4347298;NA
"50090, Tartu, Estonia";"293620554";"N";"Tartu";NA;NA;"53007";NA;NA;"Estonia";"place";"city";26,72245;58,3801207;NA
"Fi - 00550, Helsinki, Finland";"34914";"R";"Helsinki";NA;NA;NA;NA;"Southern Finland";"Finland";"place";"city";24,9425683;60,1674086;NA
"10127, Tallinn, Estonia";"29787492";"N";"Tallinn";NA;NA;"10146";NA;NA;"Estonia";"place";"city";24,7453688;59,4372155;NA
"100, Helsinki, Finland";"5371115666";"N";"100th anniversary memorial to the state railways";"1";"Kaivokatu";"00014";"Helsinki";"Southern Finland";"Finland";"historic";"memorial";24,9416798;60,1707425;NA
"10130, Tallinn, Estonia";"29787492";"N";"Tallinn";NA;NA;"10146";NA;NA;"Estonia";"place";"city";24,7453688;59,4372155;NA
"10120, Tallinn, Estonia";"29787492";"N";"Tallinn";NA;NA;"10146";NA;NA;"Estonia";"place";"city";24,7453688;59,4372155;NA
"65301, Võru county, Estonia";"687056997";"N";"Võru County Museum";"11";"Katariina allee";"65608";"Võru linn";NA;"Estonia";"tourism";"museum";26,9921421;57,8460239;NA
"10264, Stockholm, Sweden";"25929985";"N";"Stockholm";NA;NA;"111 29";NA;"Stockholm County";"Sweden";"place";"city";18,0710935;59,3251172;NA
"10114, Tallinn, Estonia";"29787492";"N";"Tallinn";NA;NA;"10146";NA;NA;"Estonia";"place";"city";24,7453688;59,4372155;NA
"11415, Tallinn, Estonia";"5258109926";"N";"e-Estonia Showroom";"2A";"Lõõtsa";"11415";"Tallinn";NA;"Estonia";"office";"government";24,8017266;59,4227255;NA
"11912, Tallinn, Estonia";"29787492";"N";"Tallinn";NA;NA;"10146";NA;NA;"Estonia";"place";"city";24,7453688;59,4372155;NA
"240, Helsinki, Finland";"34914";"R";"Helsinki";NA;NA;NA;NA;"Southern Finland";"Finland";"place";"city";24,9425683;60,1674086;NA
"30100, Plzeň, Czech Republic";"1599447678";"N";"Jižní Předměstí";NA;NA;"30100";"Plzeň";"Southwest";"Czech Republic";"place";"suburb";13,3722701;49,734794;NA
"94078, Freyung, Germany";"165315665";"W";"Standortübungsplatz Freyung-Linden";NA;NA;"94078";"Freyung";"Bavaria";"Germany";"landuse";"military";13,5685714282928;48,83194955;NA
"85622, Feldkirchen, Germany";"4844003";"R";"HP Computer Germany";"3";"Dornacher Straße";"85622";"Feldkirchen";"Bavaria";"Germany";"office";"it";11,7221069539284;48,1506376;NA
"326 00, Plzeň, Czech Republic";"7028966";"R";"Úslava";NA;NA;"326 00";NA;"Southwest";"Czech Republic";"waterway";"river";13,5133496;49,4991427;NA
"D - 95100, Selb, Germany";"1022879";"R";"Selb";NA;NA;"95100";NA;"Bavaria";"Germany";"place";"town";12,1297769;50,169121;NA
"95615, Marktredwitz, Germany";"1022884";"R";"Marktredwitz";NA;NA;"95615";NA;"Bavaria";"Germany";"place";"town";12,0856433;50,0009915;NA
"306 14, Plzeň, Czech Republic";"1973958661";"N";NA;"334/14";"Na Plzeňce";"30100";"Plzeň";"Southwest";"Czech Republic";"place";"house";13,3233509;49,6937861;NA
"341 92, Kašperské Hory, Czech Republic";"438195";"R";"Kašperské Hory";NA;NA;"341 92";NA;"Southwest";"Czech Republic";"place";"village";13,5560577;49,1434723;NA
"384 93, Kvilda, Czech Republic";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"2580, Putte, Belgium";"398058";"R";"Putte";NA;NA;"2580";NA;"Flanders";"Belgium";"place";"town";4,6310473;51,0570823;NA
"1000, Brussel, Belgium";"4413902500";"N";"Belgium Copy";"132-136";"Boulevard Anspach - Anspachlaan";"1000";"Ville de Bruxelles - Stad Brussel";"Brussels-Capital";"Belgium";"shop";"copyshop";4,3482287;50,8466964;NA
"8510, Marke, Belgium";"1037536633";"N";"Marke";NA;NA;"8510";NA;"Flanders";"Belgium";"place";"village";3,2336226;50,8070452;NA
"9770, Kruishoutem, Belgium";"3402501";"R";"Kruishoutem";NA;NA;"9770";"Kruisem";"Flanders";"Belgium";"boundary";"administrative";3,52122653685505;50,92045875;NA
"9000, Gent, Belgium";"116524370";"W";"Coca-Cola Enterprises Belgium";NA;NA;"9000";"Ghent";"Flanders";"Belgium";"landuse";"industrial";3,72454135920453;51,0162834;NA
"6200 MD, Maastricht, Netherlands";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"5656AE, Eindhoven, Netherlands";"9923996";"W";"Eindhoven University of Technology";"2";"De Rondom";"5600 MB";"Eindhoven";"North Brabant";"The Netherlands";"amenity";"university";5,49039956550805;51,4486602;NA
"3300, Tienen, Belgium";"4662046";"R";"Tienen";NA;NA;"3300";"Tienen";"Flanders";"Belgium";"boundary";"administrative";4,94642921342942;50,80843175;NA
"LV-3801, Saldus, Latvia";"1818974";"R";"Saldus";NA;NA;"LV-3801";NA;"Courland";"Latvia";"place";"town";22,4933511;56,6660128;NA
"69403, Abja, Estonia";"448033902";"N";"Abja-Paluoja";NA;NA;"69107";NA;NA;"Estonia";"place";"town";25,3584152;58,1266278;NA
"65566, Võru vald, Väimela, Estonia";"354644";"R";"Väimela alevik";NA;NA;"65566";NA;NA;"Estonia";"boundary";"administrative";27,0215824768973;57,89324955;NA
"LV-1079, Riga, Latvia";"38247112";"W";"Arēna Rīga";"21";"Skanstes iela";"LV-1013";"Riga";"Vidzeme";"Latvia";"leisure";"stadium";24,1212654274433;56,96785725;NA
"51010, Tartu, Estonia";"293620554";"N";"Tartu";NA;NA;"53007";NA;NA;"Estonia";"place";"city";26,72245;58,3801207;NA
"86604, Pärnu maakond, Estonia";"302399908";"W";"Pärnu Metsakalmistu";"6";NA;"86602";"Silla";NA;"Estonia";"landuse";"cemetery";24,57675406183;58,35913615;NA
"51017, Tartu, Estonia";"293620554";"N";"Tartu";NA;NA;"53007";NA;NA;"Estonia";"place";"city";26,72245;58,3801207;NA
"24105, Kiel, Germany";"24487450";"N";"Kiel";NA;NA;"24103";"Kiel";"Schleswig-Holstein";"Germany";"place";"city";10,135555;54,3227085;NA
"4700, Næstved, Denmark";"26559174";"N";"Næstved";NA;NA;"4700";NA;"Region Zealand";"Denmark";"place";"town";11,7674102;55,2328252;NA
"6000, Kolding, Denmark";"26559170";"N";"Kolding";NA;NA;"6000";NA;"Region of Southern Denmark";"Denmark";"place";"city";9,47905;55,4894999;NA
"23538, Lübeck, Germany";"25327151";"N";"Lübeck";NA;NA;"23552";"Lübeck";"Schleswig-Holstein";"Germany";"place";"city";10,684738;53,866444;NA
"5700, Svendborg, Denmark";"7333395";"R";"Svendborg";NA;NA;NA;NA;"Region of Southern Denmark";"Denmark";"place";"town";10,5989548567919;55,06034415;NA
", Thessaloniki, Greece";"57554537";"N";"Thessaloniki";NA;NA;"54626";NA;"Macedonia - Thrace";"Greece";"place";"city";22,9352716;40,6403167;NA
"2048, Nicosia, Cyprus";"1893015330";"N";"Nicosia";NA;NA;"1011";NA;"Cyprus";"Cyprus";"place";"city";33,364726;35,1739302;NA
"3526, Miskolc, Hungary";"118965343";"W";"AVE Miskolc Kft";NA;NA;"3527";"Miskolc";"Great Plain and North";"Hungary";"landuse";"industrial";20,8165282123942;48,1083075;NA
"1015, Budapest, Hungary";"1244004";"R";"Budapest";NA;NA;NA;NA;"Central Hungary";"Hungary";"place";"city";19,0404707;47,4983815;NA
"1024, Budapest, Hungary";"1244004";"R";"Budapest";NA;NA;NA;NA;"Central Hungary";"Hungary";"place";"city";19,0404707;47,4983815;NA
"81603, Bratislava, Slovakia";"3992676";"R";"Bratislava";NA;NA;NA;NA;"Region of Bratislava";"Slovakia";"place";"city";17,1093063;48,1516988;NA
"3980, Sátoraljaújhely, Hungary";"6086358";"R";"Észak-magyarországi Közlekedési Központ Zrt. Sátoraljaújhely";NA;NA;"3980";"Sátoraljaújhely";"Great Plain and North";"Hungary";"landuse";"industrial";21,6706083703281;48,38652675;NA
"1055, Budapest, Hungary";"1244004";"R";"Budapest";NA;NA;NA;NA;"Central Hungary";"Hungary";"place";"city";19,0404707;47,4983815;NA
"3529, Miskolc, Hungary";"118965343";"W";"AVE Miskolc Kft";NA;NA;"3527";"Miskolc";"Great Plain and North";"Hungary";"landuse";"industrial";20,8165282123942;48,1083075;NA
"4400, Nyíregyháza, Hungary";"479295523";"W";"GLS Hungary";"6";NA;"4400";"Nyíregyháza";"Great Plain and North";"Hungary";"landuse";"commercial";21,6930012084032;47,95903255;NA
"3711, Szirmabesenyő, Hungary";"1440900";"R";"Szirmabesenyő";NA;NA;"3711";NA;"Great Plain and North";"Hungary";"place";"village";20,7959687;48,1540642;NA
"3100, Salgótarján, Hungary";"174269707";"W";"Salgó-patak";NA;NA;"3100";"Salgótarján";"Great Plain and North";"Hungary";"waterway";"stream";19,8198013;48,111505;NA
"2800, Tatabánya, Hungary";"2810267068";"N";"Coloplast Hungary Kft.";"15";"Búzavirág út";"2800";"Környe";"Transdanubia";"Hungary";"place";"house";18,3558073;47,587632;NA
"94621, Veľké Kosihy, Slovakia";"1812621098";"N";"Kakalská oráčina";NA;NA;"94613";"District of Komárno";"Region of Nitra";"Slovakia";"place";"locality";17,9208838;47,7677304;NA
"32013, Longarone (Belluno), Italy";"47047";"R";"Longarone";NA;NA;"32013";NA;"Veneto";"Italy";"place";"village";12,2999366;46,265786;NA
"6020, Innsbruck, Austria";"4211080760";"N";"Porsche Austria IBS Stützpunkt Innsbruck";"165";"Haller Straße";"6020";"Innsbruck";"Tyrol";"Austria";"shop";"car_repair";11,4347475;47,2762416;NA
"9020, Klagenfurt, Austria";"172090816";"W";"A1 Telekom Austria AG, Regionalstelle Klagenfurt";"36";"Maximilianstraße";"9020";"Klagenfurt";"Carinthia";"Austria";"office";"telecommunication";14,2951145919203;46,6140148;NA
"36015, Schio, Italy";"45705";"R";"Schio";NA;NA;"36015";NA;"Veneto";"Italy";"place";"town";11,3553593;45,7113511;NA
"18039, Ventimiglia, Italy";"42680";"R";"Ventimiglia";NA;NA;NA;NA;"Liguria";"Italy";"place";"town";7,6033131;43,7917623;NA
"10024, Moncalieri, Italy";"43843";"R";"Moncalieri";NA;NA;"12024";NA;"Piemont";"Italy";"place";"town";7,6847543;45,0004614;NA
"12037, Saluzzo, Italy";"43392";"R";"Saluzzo";NA;NA;NA;NA;"Piemont";"Italy";"place";"town";7,4926009;44,6446052;NA
"12100, Cuneo, Italy";"43083";"R";"Cuneo";NA;NA;"12100";NA;"Piemont";"Italy";"place";"city";7,5478945;44,3895925;NA
"74170, Saint-Gervais-les-Bains, France";"104744";"R";"Saint-Gervais-les-Bains";NA;NA;"74170";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";6,7113338;45,8928549;NA
"11100, Aosta, Italy";"45916";"R";"Aosta";NA;NA;"11100";NA;"Aosta Valley";"Italy";"place";"town";7,3196649;45,7370885;NA
"10149, Turin, Italy";"43992";"R";"Turin";NA;NA;NA;NA;"Piemont";"Italy";"place";"city";7,6824892;45,0677551;NA
"10123, Turin, Italy";"43992";"R";"Turin";NA;NA;NA;NA;"Piemont";"Italy";"place";"city";7,6824892;45,0677551;NA
"11020, Saint-Christophe, Italy";"45941";"R";"Saint-Christophe";NA;NA;NA;NA;"Aosta Valley";"Italy";"boundary";"administrative";7,35394086168056;45,76710795;NA
"10135, Turin, Italy";"43992";"R";"Turin";NA;NA;NA;NA;"Piemont";"Italy";"place";"city";7,6824892;45,0677551;NA
"12010, Valdieri, Italy";"42938";"R";"Valdieri";NA;NA;NA;NA;"Piemont";"Italy";"place";"village";7,397631;44,277626;NA
"6201, Nice, France";"170100";"R";"Nice";NA;NA;NA;NA;"Provence-Alpes-Côte d'Azur";"France";"place";"city";7,2683912;43,7009358;NA
"11013, Courmayeur, Italy";"46039";"R";"Courmayeur";NA;NA;"11013";NA;"Aosta Valley";"Italy";"place";"village";6,9730618;45,7874248;NA
"74401, Chamonix Mont-Blanc, France";"104836";"R";"Chamonix-Mont-Blanc";NA;NA;"74400";NA;"Auvergne-Rhône-Alpes";"France";"place";"town";6,8727506;45,9246705;NA
"12075, Garessio, Italy";"42910";"R";"Garessio";NA;NA;"12075";NA;"Piemont";"Italy";"place";"village";8,0192528;44,202931;NA
"73000, Chambéry, France";"74386";"R";"Chambéry";NA;NA;"73000";NA;"Auvergne-Rhône-Alpes";"France";"place";"town";5,9203636;45,5662672;NA
"16123, Genova, Italy";"44875";"R";"Genoa";NA;NA;NA;NA;"Liguria";"Italy";"place";"city";8,9338624;44,40726;NA
"F-20189, Ajaccio, France";"73283";"R";"Ajaccio";NA;NA;NA;NA;"Corsica";"France";"place";"city";8,7376029;41,9263991;NA
"9124, Cagliari, Italy";"72990657";"N";"Cagliari";NA;NA;"09124";NA;"Sardinia";"Italy";"place";"city";9,1128513;39,2169525;NA
"16152, Genova, Italy";"44875";"R";"Genoa";NA;NA;NA;NA;"Liguria";"Italy";"place";"city";8,9338624;44,40726;NA
"57123, Livorno, Italy";"42481";"R";"Livorno";NA;NA;NA;NA;"Tuscany";"Italy";"place";"city";10,3091456;43,5507411;NA
"6700, Saint Laurent du Var, France";"149032";"R";"Saint-Laurent-du-Var";NA;NA;"06700";NA;"Provence-Alpes-Côte d'Azur";"France";"place";"town";7,1906969;43,6690101;NA
"83500, La Seyne-sur -Mer, France";"29188";"R";"La Seyne-sur-Mer";NA;NA;"83500";NA;"Provence-Alpes-Côte d'Azur";"France";"place";"town";5,8788948;43,1007714;NA
"20 304, Ajaccio, France";"25180034";"W";"Cimetière d'Ajaccio";NA;NA;"2000";"Ajaccio";"Corsica";"France";"landuse";"cemetery";8,7050625000856;41,90876335;NA
"20293, Bastia, Italy";"43184";"R";"Bastia Mondovì";NA;NA;NA;NA;"Piemont";"Italy";"place";"village";7,894438;44,441935;NA
"16121, Genova, Italy";"44875";"R";"Genoa";NA;NA;NA;NA;"Liguria";"Italy";"place";"city";8,9338624;44,40726;NA
"84914, Avignon, France";"102478";"R";"Avignon";NA;NA;NA;NA;"Provence-Alpes-Côte d'Azur";"France";"place";"city";4,8059012;43,9492493;NA
"16018, Mignanego, Italy";"43257";"R";"Mignanego";NA;NA;"16018";NA;"Liguria";"Italy";"place";"municipality";8,9156574;44,54833;NA
"19124, La Spezia, Italy";"42842";"R";"La Spezia";NA;NA;NA;NA;"Liguria";"Italy";"place";"city";9,8282255;44,107033;NA
"55100, Lucca, Italy";"42659";"R";"Lucca";NA;NA;NA;NA;"Tuscany";"Italy";"place";"city";10,502876;43,8428381;NA
"50127, Firenze, Italy";"42602";"R";"Florence";NA;NA;NA;NA;"Tuscany";"Italy";"place";"city";11,2555757;43,7698712;NA
"20180, Ajaccio, France";"171847215";"W";"Ancienne Nationale d'Ajaccio à Bonifacio";NA;NA;"20180";"Ajaccio";"Corsica";"France";"highway";"secondary";8,7967339;41,9277777;NA
"17100, Savona, Italy";"43007";"R";"Savona";NA;NA;NA;NA;"Liguria";"Italy";"place";"city";8,4810315;44,3080251;NA
"56121, Pisa, Italy";"42527";"R";"Pisa";NA;NA;NA;NA;"Tuscany";"Italy";"place";"city";10,4018624;43,7159395;NA
"9122, Cagliari, Italy";"72990657";"N";"Cagliari";NA;NA;"09124";NA;"Sardinia";"Italy";"place";"city";9,1128513;39,2169525;NA
"LV5113, Koknese, Koknese county, Latvia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"LV-3001, Jelgava, Latvia";"33326596";"N";"Jelgava";NA;"Zemgales prospekts";"LV-3001";"Jelgava";"Zemgale";"Latvia";"railway";"station";23,7327949;56,6407881;NA
"LT-97111, Kretinga, Lithuania";"276587389";"W";NA;NA;NA;"LT-97121";"Kretingsodis";"Klaipeda County";"Lithuania";"highway";"trunk";21,227266;55,8957133;NA
"LT-00134, Palanga, Lietuva, Lithuania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"LT-44249, Kaunas, Lithuania, Lithuania";"5234846528";"N";"Flamanda LTD - Electric Product World";"19";"Draugystės g.";"51228";"Kaunas";"Kaunas County";"Lithuania";"shop";"electronics";24,0042754;54,9065404;NA
"LV - 3601, Ventspils, Latvia";"2511602";"R";"Ventspils International Airport";NA;"Cirpstenes iela";"LV-3601";"Ventspils";"Courland";"Latvia";"aeroway";"aerodrome";21,5397463821063;57,35450815;NA
"LT-41143, Birzai, Panevezys county, Lithuania, Lithuania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"LT-03113, Vilnius, Lithuania";"4505427090";"N";"Alus.lt";NA;"Muitinės g.";"03113";"Vilnius";"Vilnius County";"Lithuania";"amenity";"pub";25,2611484;54,6801367;NA
"LT-32129, Zarasai, Lithuania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"16-300, Augustow, Poland";"268867019";"W";"Brunswick Marine In Poland sp. z o.o. Oddział Augustów";"3";"Białostocka";"16-300";"Augustów";"Podlaskie Voivodeship";"Poland";"building";"yes";22,9616767333059;53,8282325;NA
"19-300, Elk, Poland";"157101232";"W";"Ełk";NA;NA;"19-300";"Elk";"Warmian-Masurian Voivodeship";"Poland";"waterway";"river";22,3503708;53,8175165;NA
"19-300, Ełk, Poland";"157101232";"W";"Ełk";NA;NA;"19-300";"Elk";"Warmian-Masurian Voivodeship";"Poland";"waterway";"river";22,3503708;53,8175165;NA
"15-333, Bialystok, Poland";"221962369";"W";"Kościół pw. Świętego Karola Boromeusza (stary)";NA;"Generała Kazimierza Pułaskiego";"15-338";"Białystok";"Podlaskie Voivodeship";"Poland";"amenity";"place_of_worship";23,1203364620701;53,1092225;NA
"16-503, Krasnopol, Poland";"3086302";"R";"gmina Krasnopol";NA;NA;"16-503";NA;"Podlaskie Voivodeship";"Poland";"boundary";"administrative";23,1950855942549;54,09412295;NA
"62384, Alytus, Lithuania";"1456884";"R";"Alytus";NA;NA;NA;NA;"Alytus County";"Lithuania";"place";"town";24,0459268;54,3961344;NA
"63348, Alytus, Lithuania";"1456884";"R";"Alytus";NA;NA;NA;NA;"Alytus County";"Lithuania";"place";"town";24,0459268;54,3961344;NA
"12-250, Orzysz, Poland";"2992389";"R";"Orzysz";NA;NA;"12-250";NA;"Warmian-Masurian Voivodeship";"Poland";"place";"town";21,9473601;53,809833;NA
"LT-68230, Marijampolė, Lithuania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"16-200, Dąbrowa Białostocka, Poland";"3089413";"R";"Dąbrowa Białostocka";NA;NA;"16-200";NA;"Podlaskie Voivodeship";"Poland";"place";"town";23,3485102;53,654439;NA
"19300, Ełk, Poland";"2984697";"R";"Elk";NA;NA;NA;NA;"Warmian-Masurian Voivodeship";"Poland";"place";"town";22,3615813;53,8248304;NA
"16-515, Puńsk, Poland";"6806653";"R";"Puńsk";NA;NA;"16-515";NA;"Podlaskie Voivodeship";"Poland";"place";"village";23,1788368;54,2508169;NA
"PL 15-950, Bialystok, Poland";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"LT-21106, Trakai, Lithuania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"62172, Alytus, Lithuania";"1456884";"R";"Alytus";NA;NA;NA;NA;"Alytus County";"Lithuania";"place";"town";24,0459268;54,3961344;NA
"16-150, Suchowola, Poland";"3089416";"R";"Suchowola";NA;NA;"16-150";NA;"Podlaskie Voivodeship";"Poland";"place";"town";23,1058224;53,578557;NA
"LT-75137, Šilalė, Lithuania";"373619444";"W";"Ašutis";NA;NA;"LT75135";"Šilalė";"Taurage County";"Lithuania";"waterway";"stream";22,1774066;55,4912065;NA
"67106, Lazdijai, Lithuania";"150035481";"W";"Lazdijai — Kučiūnai — Veisiejai";NA;NA;"67102";"Lazdijai";"Alytus County";"Lithuania";"highway";"secondary";23,5126542;54,1876308;NA
"LT-26110, Elektrėnai, Lithuania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"LT-65334, Merkinė, Lithuania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"16-300, Augustów, Poland";"268867019";"W";"Brunswick Marine In Poland sp. z o.o. Oddział Augustów";"3";"Białostocka";"16-300";"Augustów";"Podlaskie Voivodeship";"Poland";"building";"yes";22,9616767333059;53,8282325;NA
"LT-45130, Kaunas, Lithuania";"5234846528";"N";"Flamanda LTD - Electric Product World";"19";"Draugystės g.";"51228";"Kaunas";"Kaunas County";"Lithuania";"shop";"electronics";24,0042754;54,9065404;NA
