"Programme";"Acronym";"Project.Partner";"Lead.Partner";"Street";"Postal.code";"Town";"Country";"Website";"Department";"Legal.Status";"Country.code";"NUTS1..or.equivalent.";"NUTS2..or.equivalent.";"NUTS3..or.equivalent.";"location";"Postal.code2";"location2";"osm_id";"osm_type";"name";"housenumber";"street";"postcode";"city";"state";"country.x";"osm_key";"osm_value";"lon.x";"lat.x";"msg";"lon.y";"lat.y";"type";"loctype";"north";"south";"east";"west";"locality";"country.y";"postal_code";"administrative_area_level_1";"SourceGeoCode";"TownLowerCase";"CountrySimplified";"CountryGeoCode";"CountryGeocodeSimplified"
"2007 - 2013 Spain - External Borders (ES)";"PIFHUELVA";"AUTORIDAD PORTUARIA DE HUELVA";"Yes";"Avda. Real Sociedad Colombina Onubense, 1";"21001";"HUELVA";"Spain";"https://www.poctefa.eu/programa/poctefa-2007-2013/";"";"";"ES Spain / ESPAÑA";"ES6  / SUR";"ES61  / Andalucía";"ES615  / Huelva";"21001, HUELVA, Spain";"21001";"HUELVA, Spain";"12816597";"W";"Huelva Road";NA;NA;"71900";"Hot Springs Village";"Arkansas";"United States of America";"highway";"residential";-93,0338896;34,6645016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"huelva";"Spain";"United States of America";"United States of America"
"2007 - 2013 Programme MED";"Rururbal";"Consell Comarcal del Vallès Oriental";"Yes";"Miquel Ricoma , 46   ";"8401";"Granollers";"Spain";"http://www.programmemed.eu/index.php?id=5175&L=1";"";"";"ES Spain / ESPAÑA";"ES5  / ESTE";"ES51  / Cataluña";"ES511  / Barcelona";"8401, Granollers, Spain";"8401";"Granollers, Spain";"360075680";"W";"Spring Hollow Creek";NA;NA;"84018";NA;"Utah";"United States of America";"waterway";"stream";-111,4886651;41,1325184;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"granollers";"Spain";"United States of America";"United States of America"
"2007 - 2013 Programme MED";"KnowInTarget";"Food Industrial Research and Technological Development Company (ETAT SA)";"Yes";"47 Ethnikis Antistaseos Ave.";"172 37";"Athens";"Greece";"http://www.programmemed.eu/index.php?id=5175&L=1";"";"";"EL Greece / ΕΛΛΑΔΑ (ELLADA)";"EL3  / ATTIKΗ (ATTIKI)";"EL30  / Aττική (Attiki)";"EL302  / Δυτικός Τομέας Αθηνών (Dytikos Tomeas Athinon)";"172 37, Athens, Greece";"17237";"Athens, Greece";"19540809";"W";"County Road 172";NA;NA;"37303";"Athens";"Tennessee";"United States of America";"highway";"secondary";-84,64043;35,4628929;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"athens";"Greece";"United States of America";"United States of America"
"2007 - 2013 Programme MED";"EASY FINANCE";"Local Development Agency of Alicante";"Yes";"C/ Rafael Altamira, 2-3. ";"3002";"Alicante";"Spain";"http://www.programmemed.eu/index.php?id=5175&L=1";"";"";"ES Spain / ESPAÑA";"ES5  / ESTE";"ES52  / Comunidad Valenciana";"ES521  / Alicante / Alacant";"3002, Alicante, Spain";"3002";"Alicante, Spain";"9287643";"W";"Spain Road";NA;NA;"30039";NA;"Georgia";"United States of America";"highway";"residential";-84,063955;33,795045;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"alicante";"Spain";"United States of America";"United States of America"
"2007 - 2013 Programme MED";"MAREMED";"PROVENCE ALPES COTE D'AZUR REGION";"Yes";"REGION PACA  HOTEL DE LA REGION  27 Place Jules GUESDE  ";"13481";"MARSEILLE CEDEX 20";"France";"http://www.programmemed.eu/index.php?id=5175&L=1";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR82  / Provence-Alpes-Côte d'Azur";"FR824  / Bouches-du-Rhône";"13481, MARSEILLE CEDEX 20, France";"13481";"MARSEILLE CEDEX 20, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8,76254;41,89353;"Not found";-8,76254;41,89353;"locality";"approximate";NA;NA;NA;NA;"France, PT";"Portugal";NA;NA;"dsk_ggmap";"marseille cedex 20";"France";"Portugal";"Portugal"
"2007 - 2013 Programme MED";"MAIN";"University of Modena and Reggio Emilia - UNIMORE";"Yes";"";"";"Modena";"Italy";"http://www.programmemed.eu";"";"";"IT Italy / ITALIA";"ITH  / NORD-EST";"ITH5  / Emilia-Romagna";"ITH54  / Modena";", Modena, Italy";"";"Modena, Italy";"553168368";"W";"Residencial Módena Italy";"1240";"Rua Alberto Spredemann";"89107-000";"Pomerode";"Santa Catarina";"Brazil";"building";"yes";-49,18361975;-26,71726865;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"modena";"Italy";"Brazil";"Brazil"
"2007 - 2013 France - Switzerland (FR-CH)";"Minnov'Arc";"Chambre de Commerce et d'Industrie du Doubs (CCID)";"Yes";"46, avenue Villarceau";"25042";"Besan";"France";"http://www.interreg-francesuisse.org/les-realisations/3412,liste-des-beneficiaires.html";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR81  / Languedoc-Roussillon";"FR813  / Hérault";"25042, Besan, France";"25042";"Besan, France";"3144059710";"N";"France Tate / Besamah";NA;NA;NA;NA;"River Cess County";"Liberia";"place";"hamlet";-9,6068619;5,74076;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"besan";"France";"Liberia";"Liberia"
"2007 - 2013 France - Switzerland (FR-CH)";"VAE";"AFPA Franche Comté";"Yes";"AFPA Direction Régionale,  4 Rue Plançon";"25043";"Besan";"France";"http://www.interreg-francesuisse.org/les-realisations/3412,liste-des-beneficiaires.html";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR81  / Languedoc-Roussillon";"FR813  / Hérault";"25043, Besan, France";"25043";"Besan, France";"3144059710";"N";"France Tate / Besamah";NA;NA;NA;NA;"River Cess County";"Liberia";"place";"hamlet";-9,6068619;5,74076;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"besan";"France";"Liberia";"Liberia"
"2007 - 2013 France - Switzerland (FR-CH)";"Pont de Biaufond";"Conseil général du Doubs";"Yes";"Direction des routes et des infrastructures  7, avenue de la Gare d’Eau";"25031";"Besan";"France";"http://www.interreg-francesuisse.org/les-realisations/3412,liste-des-beneficiaires.html";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR81  / Languedoc-Roussillon";"FR813  / Hérault";"25031, Besan, France";"25031";"Besan, France";"3144059710";"N";"France Tate / Besamah";NA;NA;NA;NA;"River Cess County";"Liberia";"place";"hamlet";-9,6068619;5,74076;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"besan";"France";"Liberia";"Liberia"
"2007 - 2013 Syddanmark-Schleswig-K.E.R.N.";"MaP";"Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik (IPN)";"Yes";"Olshausenstr. 62";"D-24098";"Kiel";"Germany";"http://www.interreg4a.de";"";"";"DE Germany / DEUTSCHLAND";"DEF  / SCHLESWIG-HOLSTEIN";"DEF0  / Schleswig-Holstein";"DEF02  / Kiel, Kreisfreie Stadt";"D-24098, Kiel, Germany";"D-24098";"Kiel, Germany";"286352537";"W";"Rua Germano Kiel Batista";NA;NA;"39801260";"Teófilo Otoni";"Minas Gerais";"Brazil";"highway";"residential";-41,4779816;-17,8441639;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"kiel";"Germany";"Brazil";"Brazil"
"2007 - 2013 Hungary-Slovakia-Romania-Ukraine ENPI CBC";"HUSKROUA/1001/011";"Municipality of Jánosi";"Yes";"Shevchenko str. 41.";"90233";"Jánosi";"Ukraine";"http://www.huskroua-cbc.net/";"";"";"UA  / Ukraine";"";"";"";"90233, Jánosi, Ukraine";"90233";"Jánosi, Ukraine";"312707888";"N";"Jancsifalu";NA;NA;"9023";"Győr";"Transdanubia";"Hungary";"place";"suburb";17,6604269;47,6819864;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"jánosi";"Ukraine";"Hungary";"Hungary"
"2007 - 2013 Hungary-Slovakia-Romania-Ukraine ENPI CBC";"HUSKROUA/1001/107";"League for defence of human rights branch of Satu Mare";"Yes";"3-5 Pastravului street";"3104-09-09";"Satu Mare";"Romania";"http://www.huskroua-cbc.net/";"";"";"RO Romania / ROMÂNIA";"RO1  / MACROREGIUNEA UNU";"RO11  / Nord-Vest";"RO115  / Satu Mare";"3104-09-09, Satu Mare, Romania";"3104-09-09";"Satu Mare, Romania";"5583720093";"N";"Iglesia Católica Santísima Virgen Salud de los Enfermos";"3101";"Francisco de Marcos C";"090302";"Guayaquil";"Guayas";"Ecuador";"amenity";"place_of_worship";-79,9056806;-2,2014267;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"satu mare";"Romania";"Ecuador";"Ecuador"
"2007 - 2013 Central Baltic (FI-SE-EE-LA)";"FOODWEB";"MTT Agrifood Research Finland";"Yes";"";"FIN-31600";"Jokioinen";"Finland";"http://www.mtt.fi";"";"";"FI Finland / SUOMI / FINLAND";"FI1  / MANNER-SUOMI";"FI1C  / Etelä-Suomi";"FI1C2  / Kanta-Häme";"FIN-31600, Jokioinen, Finland";"FIN-31600";"Jokioinen, Finland";"191643077";"W";"Finlandia";NA;NA;"3130000";"Santa Cruz";"O'Higgins Region";"Chile";"highway";"living_street";-71,3461903;-34,6342042;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"jokioinen";"Finland";"Chile";"Chile"
"2007 - 2013 Central Baltic (FI-SE-EE-LA)";"PAVAMAB";"Municipality of Padise";"Yes";"Padise vald";"76001";"Padise";"Estonia";"http://www.padise.ee";"";"";"EE Estonia / EESTI";"EE0  / EESTI";"EE00  / Eesti";"EE001  / Põhja-Eesti";"76001, Padise, Estonia";"76001";"Padise, Estonia";"103264393";"W";"Padiski Court";NA;NA;"78251-2101";"San Antonio";"Texas";"United States of America";"highway";"residential";-98,6559322;29,4575397;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"padise";"Estonia";"United States of America";"United States of America"
"2007 - 2013 Nord (SE-FI-NO)";"North calotte network - Sustainable tourism development";"Studieförbundet Vuxenskolan";"Yes";"";"95227";"Kalix";"Sweden";"http://www.interregnord.com/";"";"";"SE Sweden / SVERIGE";"SE3  / NORRA SVERIGE";"SE33  / Övre Norrland";"SE332  / Norrbottens län";"95227, Kalix, Sweden";"95227";"Kalix, Sweden";"231011744";"W";"Swędrnia";NA;NA;"62-840";NA;"Greater Poland Voivodeship";"Poland";"waterway";"river";18,2823986;51,8136805;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"kalix";"Sweden";"Poland";"Poland"
"2007 - 2013 Nord (SE-FI-NO)";"II City V2";"The Interactive Institute II AB";"Yes";"";"94128";"Piteå";"Sweden";"http://2007-2013.interregnord.com/";"";"";"SE Sweden / SVERIGE";"SE3  / NORRA SVERIGE";"SE33  / Övre Norrland";"SE332  / Norrbottens län";"94128, Piteå, Sweden";"94128";"Piteå, Sweden";"2340686509";"N";"Consulate of Sweden";"149";"Larsmovägen";"68600";"Pietarsaari";"Western Finland";"Finland";"amenity";"embassy";22,7131655;63,698879;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"piteå";"Sweden";"Finland";"Finland"
"2007 - 2013 Nord (SE-FI-NO)";"Ovttas! Sami language, school and kindergarten development in Tana Valley";"Municipality of Utsjoki";"Yes";"";"99800";"Utsjoki";"Finland";"http://www.interregnord.com/";"";"";"FI Finland / SUOMI / FINLAND";"FI1  / MANNER-SUOMI";"FI1D  / Pohjois- ja Itä-Suomi";"FI1D7  / Lappi";"99800, Utsjoki, Finland";"99800";"Utsjoki, Finland";"23075648";"W";"Finlandsvej";NA;NA;"9900";"Kæret";"North Denmark Region";"Denmark";"highway";"residential";10,5111714;57,4462659;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"utsjoki";"Finland";"Denmark";"Denmark"
"2007 - 2013 Nord (SE-FI-NO)";"SÁFÁ - Investigation into the establishment of a Nordic Sami language center";"Sami Thing Finland";"Yes";"";"99871";"Enare";"Finland";"http://www.interregnord.com/";"";"";"FI Finland / SUOMI / FINLAND";"FI1  / MANNER-SUOMI";"FI1B  / Helsinki-Uusimaa";"FI1B1  / Helsinki-Uusimaa";"99871, Enare, Finland";"99871";"Enare, Finland";"3366676809";"N";"Circuito de entrenamiento BTT";NA;"Pista Finlandesa / Paseo de Valdeflora";"33012";"Oviedo";"Principality of Asturias";"Spain";"leisure";"pitch";-5,8623924;43,3753159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"enare";"Finland";"Spain";"Spain"
"2007 - 2013 Nord (SE-FI-NO)";"Oarjehiebma / Zephyr";"Education Center in the Sami Area";"Yes";"";"99870";"Enare";"Finland";"http://www.interregnord.com/";"";"";"FI Finland / SUOMI / FINLAND";"FI1  / MANNER-SUOMI";"FI1D  / Pohjois- ja Itä-Suomi";"FI1D7  / Lappi";"99870, Enare, Finland";"99870";"Enare, Finland";"201922234";"W";"Ribeira de Entre Cancelas";NA;NA;"9980";NA;"Azores";"Portugal";"waterway";"stream";-31,0914838;39,7014763;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"enare";"Finland";"Portugal";"Portugal"
